,Unnamed: 0,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
881,881,Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 46, Berkley 43",3,2011-08-02,2011.0,9.0
882,882,Utah Senate - Hatch vs. Matheson,Mason-Dixon,"Hatch 48, Matheson 43",5,2011-08-15,2011.0,10.0
883,883,Utah Senate - Republican Primary,Mason-Dixon,"Hatch 49, Chaffetz 39",10,2011-08-15,2011.0,10.0
884,884,Utah Senate - Chaffetz vs. Matheson,Mason-Dixon,"Chaffetz 49, Matheson 43",6,2011-08-15,2011.0,10.0
885,885,Ohio Senate - Coughlin vs. Brown,PPP (D),"Brown 47, Coughlin 33",14,2011-08-17,2011.0,9.0
886,886,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 48, Mandel 33",15,2011-08-17,2011.0,9.0
887,887,Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Neumann 44, Baldwin 40",4,2011-08-18,2011.0,9.0
888,888,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 50, Baldwin 42",8,2011-08-18,2011.0,9.0
889,889,Michigan Senate - Hoekstra vs. Stabenow,EPIC-MRA,"Stabenow 47, Hoekstra 38",9,2011-08-22,2011.0,10.0
890,890,Florida Senate - Buchanan vs. Nelson,Mason-Dixon,"Nelson 45, Buchanan 35",10,2011-08-26,2011.0,10.0
891,891,Florida Senate - Hasner vs. Nelson,Mason-Dixon,"Nelson 45, Hasner 34",11,2011-08-26,2011.0,10.0
892,892,Florida Senate - LeMieux vs. Nelson,Mason-Dixon,"Nelson 49, LeMieux 34",15,2011-08-26,2011.0,10.0
893,893,Massachusetts Senate - Brown vs. Elizabeth Warren,WBUR/MassINC,"Warren 35, Brown 44",9,2011-09-06,2011.0,11.0
894,894,West Virginia Senate - Capito vs. Manchin,PPP (D),"Manchin 52, Capito 36",16,2011-09-08,2011.0,9.0
895,895,Missouri Senate - Akin vs. McCaskill,PPP (D),"McCaskill 45, Akin 43",2,2011-09-13,2011.0,9.0
896,896,Missouri Senate - Steelman vs. McCaskill,PPP (D),"McCaskill 43, Steelman 42",1,2011-09-13,2011.0,9.0
897,897,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Allen 45, Kaine 44",1,2011-09-15,2011.0,11.0
898,898,Connecticut Senate - Shays vs. Murphy,Quinnipiac,"Murphy 43, Shays 37",6,2011-09-16,2011.0,11.0
899,899,Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 49, McMahon 38",11,2011-09-16,2011.0,11.0
900,900,Massachusetts Senate - Brown vs. Elizabeth Warren,PPP (D),"Warren 46, Brown 44",2,2011-09-20,2011.0,9.0
901,901,Texas Senate - Dewhurst vs. Sanchez,PPP (D),"Dewhurst 47, Sanchez 32",15,2011-09-21,2011.0,9.0
902,902,Virginia Senate - Allen vs. Kaine,Roanoke College,"Allen 42, Kaine 39",3,2011-09-25,2011.0,6.0
903,903,Connecticut Senate - McMahon vs. Murphy,PPP (D),"Murphy 50, McMahon 43",7,2011-09-28,2011.0,9.0
904,904,Connecticut Senate - Shays vs. Murphy,PPP (D),"Murphy 43, Shays 39",4,2011-09-28,2011.0,9.0
905,905,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 49, Mandel 36",13,2011-09-28,2011.0,11.0
906,906,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 45",1,2011-09-30,2011.0,7.0
907,907,Massachusetts Senate - Brown vs. Warren,UMass/Boston Herald,"Brown 41, Warren 38",3,2011-10-03,2011.0,0.0
908,908,Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 49, LeMieux 35",14,2011-10-04,2011.0,9.0
909,909,Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 49, Hasner 35",14,2011-10-04,2011.0,9.0
910,910,Nebraska Senate - Bruning vs. Nelson,PPP (D),"Bruning 46, Nelson 42",4,2011-10-05,2011.0,9.0
911,911,West Virginia Senate - Capito vs. Manchin,PPP (D),"Manchin 49, Capito 38",11,2011-10-06,2011.0,9.0
912,912,Massachusetts Senate - Brown vs. Warren,Western NE College,"Brown 47, Warren 42",5,2011-10-07,2011.0,0.0
913,913,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 45, Allen 44",1,2011-10-11,2011.0,11.0
914,914,Virginia Senate - Allen vs. Kaine,CNU/Times-Dispatch,"Kaine 44, Allen 42",2,2011-10-16,2011.0,9.0
915,915,Hawaii Senate - Lingle vs. Hirono,PPP (D),"Hirono 48, Lingle 42",6,2011-10-19,2011.0,9.0
916,916,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 48, Mandel 40",8,2011-10-21,2011.0,9.0
917,917,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 49, Mandel 34",15,2011-10-26,2011.0,11.0
918,918,Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 45, Berkley 45",0,2011-10-26,2011.0,9.0
919,919,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 46, Baldwin 44",2,2011-10-27,2011.0,9.0
920,920,Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Baldwin 44, Neumann 43",1,2011-10-27,2011.0,9.0
921,921,Wisconsin Senate - Neumann vs. Baldwin,Rasmussen Reports,"Baldwin 44, Neumann 43",1,2011-10-28,2011.0,7.0
922,922,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 49, Baldwin 42",7,2011-10-28,2011.0,7.0
923,923,Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 47, McCaskill 45",2,2011-11-10,2011.0,7.0
924,924,Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"McCaskill 47, Akin 45",2,2011-11-10,2011.0,7.0
925,925,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 49, Mandel 34",15,2011-11-10,2011.0,9.0
926,926,Minnesota Senate - Severson vs. Klobuchar,SurveyUSA,"Klobuchar 55, Severson 23",32,2011-11-10,2011.0,12.0
927,927,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 42, Mack 40",2,2011-11-11,2011.0,11.0
928,928,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 39, Mack 43",4,2011-11-18,2011.0,7.0
929,929,Michigan Senate - Hoekstra vs. Stabenow,EPIC-MRA,"Stabenow 48, Hoekstra 42",6,2011-11-20,2011.0,10.0
930,930,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 51, Baumgartner 39",12,2011-11-23,2011.0,12.0
931,931,Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 40, Carmona 36",4,2011-11-25,2011.0,9.0
932,932,Nebraska Senate - Bruning vs. Nelson,Magellan Strategies (R),"Bruning 45, Nelson 39",6,2011-11-28,2011.0,7.0
933,933,Pennsylvania Senate - Burns vs. Casey,PPP (D),"Casey 49, Burns 34",15,2011-11-28,2011.0,9.0
934,934,Pennsylvania Senate - Rohrer vs. Casey,PPP (D),"Casey 47, Rohrer 36",11,2011-11-28,2011.0,9.0
935,935,Montana Senate - Rehberg vs. Tester,PPP (D),"Rehberg 47, Tester 45",2,2011-12-01,2011.0,9.0
936,936,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 46, Mack 35",11,2011-12-02,2011.0,9.0
937,937,Massachusetts Senate - Brown vs. Warren,UMass/Boston Herald,"Brown 42, Warren 49",7,2011-12-08,2011.0,0.0
938,938,New Mexico Senate - Wilson vs. Heinrich,PPP (D),"Heinrich 47, Wilson 40",7,2011-12-15,2011.0,9.0
939,939,Virginia Senate - Allen vs. Kaine,PPP (D),"Kaine 47, Allen 42",5,2011-12-15,2011.0,9.0
940,940,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 42, Allen 44",2,2011-12-21,2011.0,11.0
941,941,Nevada Senate - Heller vs. Berkley,Las Vegas Review-Journal,"Berkley 44, Heller 43",1,2011-12-23,2011.0,0.0
942,942,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 41, Mack 40",1,2012-01-11,2012.0,11.0
943,943,Nebraska Senate - Stenberg vs. Kerrey,Magellan Strategies (R),"Stenberg 47, Kerrey 39",8,2012-01-16,2012.0,7.0
944,944,Nebraska Senate - Bruning vs. Kerrey,Magellan Strategies (R),"Bruning 51, Kerrey 40",11,2012-01-16,2012.0,7.0
945,945,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 50, Baumgartner 41",9,2012-01-17,2012.0,12.0
946,946,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 47, Mandel 32",15,2012-01-19,2012.0,11.0
947,947,Minnesota Senate - Severson vs. Klobuchar,PPP (D),"Klobuchar 55, Severson 32",23,2012-01-24,2012.0,9.0
948,948,Florida Senate - Mack vs. Nelson,Suffolk/7News,"Nelson 42, Mack 32",10,2012-01-28,2012.0,10.0
949,949,Florida Senate - Mack vs. Nelson,Miami Herald/Mason-Dixon,"Nelson 45, Mack 42",3,2012-01-28,2012.0,10.0
950,950,Virginia Senate - Allen vs. Kaine,Mason-Dixon,"Kaine 46, Allen 46",0,2012-01-28,2012.0,10.0
951,951,Hawaii Senate - Lingle vs. Case,Honolulu Civil Beat/MRG,"Case 46, Lingle 33",13,2012-01-31,2012.0,7.0
952,952,Hawaii Senate - Lingle vs. Hirono,Honolulu Civil Beat/MRG,"Hirono 46, Lingle 39",7,2012-01-31,2012.0,7.0
953,953,Missouri Senate - Steelman vs. McCaskill,PPP (D),"Steelman 43, McCaskill 43",0,2012-02-01,2012.0,9.0
954,954,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 47, Mandel 36",11,2012-02-03,2012.0,9.0
955,955,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 45, Allen 44",1,2012-02-08,2012.0,11.0
956,956,Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 44, Mandel 40",4,2012-02-10,2012.0,7.0
957,957,Hawaii Senate - Lingle vs. Hirono,Honolulu Star-Advertiser,"Hirono 57, Lingle 37",20,2012-02-13,2012.0,10.0
958,958,Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 51, Hoekstra 37",14,2012-02-14,2012.0,9.0
959,959,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 41, Mack 41",0,2012-02-14,2012.0,7.0
960,960,Massachusetts Senate - Brown vs. Warren,WBUR/MassINC,"Brown 43, Warren 46",3,2012-02-14,2012.0,11.0
961,961,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 48, Mandel 35",13,2012-02-15,2012.0,11.0
962,962,New Mexico Senate - Wilson vs. Heinrich,Rasmussen Reports,"Heinrich 45, Wilson 43",2,2012-02-15,2012.0,7.0
963,963,Massachusetts Senate - Brown vs. Warren,Suffolk/7News,"Brown 49, Warren 40",9,2012-02-17,2012.0,10.0
964,964,Virginia Senate - Allen vs. Kaine,CNU/Times-Dispatch,"Kaine 40, Allen 42",2,2012-02-20,2012.0,9.0
965,965,Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 46, Carmona 35",11,2012-02-21,2012.0,9.0
966,966,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Thompson 48, Baldwin 42",6,2012-02-22,2012.0,12.0
967,967,Michigan Senate - Hoekstra vs. Stabenow,NBC News/Marist,"Stabenow 53, Hoekstra 32",21,2012-02-22,2012.0,12.0
968,968,Arizona Senate - Flake vs. Carmona,NBC News/Marist,"Flake 42, Carmona 29",13,2012-02-22,2012.0,12.0
969,969,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 46",0,2012-02-22,2012.0,7.0
970,970,Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 47, Tester 44",3,2012-02-23,2012.0,7.0
971,971,Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 51, Baumgartner 36",15,2012-02-24,2012.0,9.0
972,972,Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 37, Allen 45",8,2012-02-28,2012.0,6.0
973,973,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 50, Baldwin 36",14,2012-02-28,2012.0,7.0
974,974,New Jersey Senate - Kyrillos vs. Menendez,SurveyUSA,"Menendez 46, Kyrillos 31",15,2012-02-29,2012.0,12.0
975,975,New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 49, Kyrillos 34",15,2012-02-29,2012.0,11.0
976,976,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 45, Baldwin 46",1,2012-02-29,2012.0,9.0
977,977,Massachusetts Senate - Brown vs. Warren,Mass Insight/Opinion Dynamics,"Brown 52, Warren 43",9,2012-02-29,2012.0,9.0
978,978,Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 49, Warren 44",5,2012-03-01,2012.0,7.0
979,979,Massachusetts Senate - Brown vs. Warren,Western NE University,"Brown 49, Warren 41",8,2012-03-04,2012.0,0.0
980,980,Virginia Senate - Allen vs. Kaine,NBC News/Marist,"Kaine 48, Allen 39",9,2012-03-04,2012.0,12.0
981,981,Ohio Senate - Mandel vs. Brown,NBC News/Marist,"Brown 47, Mandel 37",10,2012-03-04,2012.0,12.0
982,982,Maine Senate - Summers vs. Pingree vs. King,PPP (D),"King 36, Pingree 31, Summers 28",5,2012-03-06,2012.0,9.0
983,983,Nebraska Senate - Bruning vs. Kerrey,Rasmussen Reports,"Bruning 55, Kerrey 33",22,2012-03-06,2012.0,7.0
984,984,Pennsylvania Senate - Rohrer vs. Casey,PPP (D),"Casey 49, Rohrer 34",15,2012-03-14,2012.0,9.0
985,985,Arizona Senate - Flake vs. Carmona,Rasmussen Reports,"Flake 47, Carmona 34",13,2012-03-14,2012.0,7.0
986,986,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 36, Mack 43",7,2012-03-14,2012.0,7.0
987,987,Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 51, McCaskill 41",10,2012-03-16,2012.0,7.0
988,988,New Jersey Senate - Kyrillos vs. Menendez,Fairleigh Dickinson,"Menendez 43, Kyrillos 33",10,2012-03-19,2012.0,12.0
989,989,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 47, Allen 44",3,2012-03-20,2012.0,11.0
990,990,Massachusetts Senate - Brown vs. Warren,PPP (D),"Brown 41, Warren 46",5,2012-03-20,2012.0,9.0
991,991,Nevada Senate - Heller vs. Berkley,Rasmussen Reports,"Heller 47, Berkley 40",7,2012-03-20,2012.0,7.0
992,992,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 44, Allen 46",2,2012-03-21,2012.0,7.0
993,993,Connecticut Senate - Shays vs. Murphy,Quinnipiac,"Murphy 41, Shays 40",1,2012-03-22,2012.0,11.0
994,994,Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 52, McMahon 37",15,2012-03-22,2012.0,11.0
995,995,Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 43, Mandel 43",0,2012-03-27,2012.0,7.0
996,996,Michigan Senate - Hoekstra vs. Stabenow,MRG,"Stabenow 45, Hoekstra 40",5,2012-03-27,2012.0,7.0
997,997,Nebraska Senate - Bruning vs. Kerrey,PPP (D),"Bruning 54, Kerrey 37",17,2012-03-27,2012.0,9.0
998,998,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 48, Baldwin 44",4,2012-03-28,2012.0,7.0
999,999,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 44, Mack 36",8,2012-03-29,2012.0,11.0
1000,1000,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 46, Mandel 36",10,2012-03-29,2012.0,11.0
1001,1001,Massachusetts Senate - Brown vs. Warren,Boston Globe,"Brown 37, Warren 35",2,2012-04-01,2012.0,0.0
1002,1002,Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 46, Berkley 43",3,2012-04-03,2012.0,9.0
1003,1003,Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 47, Tester 44",3,2012-04-03,2012.0,7.0
1004,1004,New Mexico Senate - Wilson vs. Heinrich,Rasmussen Reports,"Heinrich 46, Wilson 42",4,2012-04-04,2012.0,7.0
1005,1005,New York Senate - Turner vs. Gillibrand,Quinnipiac,"Gillibrand 57, Turner 27",30,2012-04-05,2012.0,11.0
1006,1006,Indiana Senate - Mourdock vs. Donnelly,Howey/DePauw,"Mourdock 35, Donnelly 35",0,2012-04-06,2012.0,8.0
1007,1007,Maine Senate - Summers vs. Dunlap vs. King,MPRC (D),"King 56, Summers 22, Dunlap 12",34,2012-04-06,2012.0,0.0
1008,1008,Indiana Senate - Lugar vs. Donnelly,Howey/DePauw,"Lugar 50, Donnelly 29",21,2012-04-06,2012.0,8.0
1009,1009,Indiana Senate - Republican Primary,Howey/DePauw,"Lugar 42, Mourdock 35",7,2012-04-06,2012.0,8.0
1010,1010,New York Senate - Turner vs. Gillibrand,Siena,"Gillibrand 65, Turner 24",41,2012-04-10,2012.0,12.0
1011,1011,Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 45, Warren 46",1,2012-04-10,2012.0,7.0
1012,1012,Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 39, Allen 46",7,2012-04-10,2012.0,6.0
1013,1013,New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 44, Kyrillos 35",9,2012-04-12,2012.0,11.0
1014,1014,Wisconsin Senate - Thompson vs. Baldwin,Daily Kos/PPP (D),"Thompson 47, Baldwin 45",2,2012-04-16,2012.0,9.0
1015,1015,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 47, Mack 37",10,2012-04-18,2012.0,9.0
1016,1016,Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 49, McCaskill 42",7,2012-04-19,2012.0,7.0
1017,1017,Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"Akin 48, McCaskill 43",5,2012-04-19,2012.0,7.0
1018,1018,Missouri Senate - Brunner vs. McCaskill,Rasmussen Reports,"McCaskill 45, Brunner 45",0,2012-04-19,2012.0,7.0
1019,1019,Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 44, Mandel 41",3,2012-04-20,2012.0,7.0
1020,1020,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 45, Allen 46",1,2012-04-24,2012.0,7.0
1021,1021,New Mexico Senate - Wilson vs. Heinrich,PPP (D),"Heinrich 48, Wilson 43",5,2012-04-24,2012.0,9.0
1022,1022,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 47, Mack 36",11,2012-04-27,2012.0,7.0
1023,1023,Montana Senate - Rehberg vs. Tester,PPP (D),"Rehberg 43, Tester 48",5,2012-05-01,2012.0,9.0
1024,1024,Nevada Senate - Heller vs. Berkley,Rasmussen Reports,"Heller 51, Berkley 40",11,2012-05-01,2012.0,7.0
1025,1025,Virginia Senate - Allen vs. Kaine,PPP (D),"Kaine 46, Allen 45",1,2012-05-02,2012.0,9.0
1026,1026,Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 53, Tester 43",10,2012-05-03,2012.0,7.0
1027,1027,Arizona Senate - Flake vs. Carmona,Magellan (R),"Flake 44, Carmona 40",4,2012-05-03,2012.0,7.0
1028,1028,Indiana Senate - Republican Primary,Howey/DePauw,"Mourdock 48, Lugar 38",10,2012-05-04,2012.0,8.0
1029,1029,Nebraska Senate - Republican Primary,WeAskAmerica,"Fischer 26, Bruning 42, Stenberg 23",16,2012-05-07,2012.0,0.0
1030,1030,Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 45, Warren 45",0,2012-05-08,2012.0,7.0
1031,1031,Virginia Senate - Allen vs. Kaine,Washington Post,"Kaine 46, Allen 46",0,2012-05-08,2012.0,13.0
1032,1032,New Jersey Senate - Kyrillos vs. Menendez,Fairleigh Dickinson,"Menendez 42, Kyrillos 33",9,2012-05-10,2012.0,12.0
1033,1033,Massachusetts Senate - Brown vs. Warren,MassINC,"Brown 41, Warren 43",2,2012-05-10,2012.0,11.0
1034,1034,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 45, Mandel 37",8,2012-05-10,2012.0,9.0
1035,1035,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 46, Mandel 40",6,2012-05-10,2012.0,11.0
1036,1036,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 50, Baldwin 38",12,2012-05-11,2012.0,7.0
1037,1037,Nebraska Senate - Republican Primary,WeAskAmerica,"Fischer 39, Bruning 34, Stenberg 18",5,2012-05-14,2012.0,0.0
1038,1038,New York Senate - Turner vs. Gillibrand,Siena,"Gillibrand 59, Turner 25",34,2012-05-14,2012.0,12.0
1039,1039,Nebraska Senate - Republican Primary,PPP (D),"Fischer 37, Bruning 33, Stenberg 17",4,2012-05-15,2012.0,9.0
1040,1040,Wisconsin Senate - Thompson vs. Baldwin,Daily Kos/PPP (D),"Thompson 47, Baldwin 42",5,2012-05-15,2012.0,9.0
1041,1041,New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 45, Kyrillos 35",10,2012-05-16,2012.0,11.0
1042,1042,Nebraska Senate - Fischer vs. Kerrey,Rasmussen Reports,"Fischer 56, Kerrey 38",18,2012-05-17,2012.0,7.0
1043,1043,Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 48, Carmona 35",13,2012-05-22,2012.0,9.0
1044,1044,Pennsylvania Senate - Smith vs. Casey,PPP (D),"Casey 49, Smith 33",16,2012-05-23,2012.0,9.0
1045,1045,Massachusetts Senate - Brown vs. Warren,Suffolk/7News,"Brown 48, Warren 47",1,2012-05-24,2012.0,10.0
1046,1046,Virginia Senate - Allen vs. Kaine,NBC News/Marist,"Kaine 49, Allen 43",6,2012-05-24,2012.0,12.0
1047,1047,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 41, Mack 42",1,2012-05-24,2012.0,11.0
1048,1048,Florida Senate - Mack vs. Nelson,NBC News/Marist,"Nelson 46, Mack 42",4,2012-05-24,2012.0,12.0
1049,1049,Ohio Senate - Mandel vs. Brown,NBC News/Marist,"Brown 51, Mandel 37",14,2012-05-24,2012.0,12.0
1050,1050,Texas Senate - Republican Primary,PPP (D),"Dewhurst 46, Cruz 29, Leppert 15, James 3",17,2012-05-24,2012.0,9.0
1051,1051,Pennsylvania Senate - Smith vs. Casey,Rasmussen Reports,"Casey 48, Smith 41",7,2012-05-24,2012.0,7.0
1052,1052,Missouri Senate - Steelman vs. McCaskill,PPP (D),"Steelman 44, McCaskill 44",0,2012-05-29,2012.0,9.0
1053,1053,Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 47, Mandel 42",5,2012-05-30,2012.0,7.0
1054,1054,New York Senate - Turner vs. Gillibrand,Quinnipiac,"Gillibrand 56, Turner 26",30,2012-05-30,2012.0,11.0
1055,1055,Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 53, Hoekstra 37",16,2012-05-30,2012.0,9.0
1056,1056,Nevada Senate - Heller vs. Berkley,NBC News/Marist,"Heller 46, Berkley 44",2,2012-05-31,2012.0,12.0
1057,1057,Massachusetts Senate - Brown vs. Warren,Boston Globe,"Brown 39, Warren 37",2,2012-06-02,2012.0,0.0
1058,1058,Massachusetts Senate - Brown vs. Warren,Western NE University,"Brown 43, Warren 45",2,2012-06-02,2012.0,0.0
1059,1059,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 44",2,2012-06-05,2012.0,7.0
1060,1060,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 44, Allen 43",1,2012-06-06,2012.0,11.0
1061,1061,Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 46, McMahon 43",3,2012-06-06,2012.0,11.0
1062,1062,Pennsylvania Senate - Smith vs. Casey,Franklin & Marshall,"Casey 42, Smith 21",21,2012-06-06,2012.0,8.0
1063,1063,Michigan Senate - Hoekstra vs. Stabenow,EPIC-MRA,"Stabenow 49, Hoekstra 38",11,2012-06-07,2012.0,10.0
1064,1064,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 49, Mack 36",13,2012-06-07,2012.0,9.0
1065,1065,North Dakota Senate - Berg vs. Heitkamp,Mason-Dixon,"Heitkamp 47, Berg 46",1,2012-06-08,2012.0,10.0
1066,1066,Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 51, McCaskill 39",12,2012-06-08,2012.0,7.0
1067,1067,Minnesota Senate - Bills vs. Klobuchar,PPP (D),"Klobuchar 55, Bills 29",26,2012-06-08,2012.0,9.0
1068,1068,New York Senate - Turner vs. Gillibrand,Siena,"Gillibrand 63, Turner 25",38,2012-06-12,2012.0,12.0
1069,1069,Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 44, Berkley 43",1,2012-06-12,2012.0,9.0
1070,1070,Pennsylvania Senate - Smith vs. Casey,Quinnipiac,"Casey 51, Smith 32",19,2012-06-12,2012.0,11.0
1071,1071,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 52, Baldwin 36",16,2012-06-14,2012.0,7.0
1072,1072,Maine Senate - Summers vs. Dill vs. King,WBUR/MassINC,"King 50, Summers 23, Dill 9",27,2012-06-18,2012.0,11.0
1073,1073,Michigan Senate - Hoekstra vs. Stabenow,Rasmussen Reports,"Stabenow 48, Hoekstra 39",9,2012-06-18,2012.0,7.0
1074,1074,Arizona Senate - Flake vs. Carmona,Project New America/PPP (D),"Flake 43, Carmona 41",2,2012-06-19,2012.0,9.0
1075,1075,Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 49, Tester 47",2,2012-06-19,2012.0,7.0
1076,1076,Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 51, Baumgartner 35",16,2012-06-20,2012.0,9.0
1077,1077,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Thompson 49, Baldwin 41",8,2012-06-20,2012.0,12.0
1078,1078,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 43, Mack 39",4,2012-06-21,2012.0,11.0
1079,1079,Utah Senate - Republican Primary,Deseret News/KSL,"Hatch 60, Liljenquist 32",28,2012-06-25,2012.0,0.0
1080,1080,Virginia Senate - Allen vs. Kaine,WeAskAmerica,"Allen 44, Kaine 35",9,2012-06-26,2012.0,0.0
1081,1081,Massachusetts Senate - Brown vs. Warren,PPP (D),"Warren 46, Brown 46",0,2012-06-26,2012.0,9.0
1082,1082,Florida Senate - Mack vs. Nelson,Quinnipiac,"Mack 40, Nelson 41",1,2012-06-27,2012.0,11.0
1083,1083,Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 46, Mandel 39",7,2012-06-27,2012.0,9.0
1084,1084,Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 50, Mandel 34",16,2012-06-27,2012.0,11.0
1085,1085,Pennsylvania Senate - Smith vs. Casey,Quinnipiac,"Casey 49, Smith 32",17,2012-06-27,2012.0,11.0
1086,1086,Michigan Senate - Hoekstra vs. Stabenow,NBC News/Marist,"Stabenow 49, Hoekstra 37",12,2012-06-28,2012.0,12.0
1087,1087,Arizona Senate - Flake vs. Carmona,Rasmussen Reports,"Flake 47, Carmona 31",16,2012-06-28,2012.0,7.0
1088,1088,California Senate - Emken vs. Feinstein,Field,"Feinstein 51, Emken 32",19,2012-07-07,2012.0,13.0
1089,1089,Wisconsin Senate - Hovde vs. Baldwin,PPP (D),"Baldwin 44, Hovde 45",1,2012-07-10,2012.0,9.0
1090,1090,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 45, Thompson 45",0,2012-07-10,2012.0,9.0
