"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"105",105,104,"Minnesota Governor - Emmer vs. Kelliher vs. Horner","Minn. Pub. Radio","Emmer 31, Kelliher 29, Horner 10",2,"2010-05-21",2010,"unknown"
"106",106,105,"California Governor - Republican Primary","R2000/Daily Kos (D)","Whitman 46, Poizner 36",10,"2010-05-21",2010,"unknown"
"107",107,106,"Minnesota Governor - Emmer vs. Entenza vs. Horner","Minn. Pub. Radio","Emmer 32, Entenza 28, Horner 11",4,"2010-05-21",2010,"unknown"
"108",108,107,"Florida Governor - Republican Primary","St. Petersburg Times","McCollum 46, Scott 22, Dockery",24,"2010-05-22",2010,"unknown"
"109",109,108,"Florida Governor - McCollum vs. Sink","St. Petersburg Times","McCollum 34, Sink 32",2,"2010-05-22",2010,"unknown"
"110",110,109,"Florida Governor - Republican Primary","St. Petersburg Times","Scott 22, McCollum 46",24,"2010-05-22",2010,"unknown"
"111",111,110,"Georgia Governor - Oxendine vs. Barnes","Rasmussen Reports","Barnes 39, Oxendine 43",4,"2010-05-24",2010,"C+"
"112",112,111,"New York Governor - Levy vs. Cuomo","Siena","Cuomo 65, Levy 22",43,"2010-05-24",2010,"A"
"113",113,112,"New York Governor - Lazio vs. Cuomo","Siena","Cuomo 66, Lazio 24",42,"2010-05-24",2010,"A"
"114",114,113,"Georgia Governor - Deal vs. Barnes","Rasmussen Reports","Barnes 40, Deal 47",7,"2010-05-24",2010,"C+"
"115",115,114,"New York Governor - Republican Primary","Siena","Lazio 29, Paladino 16",13,"2010-05-24",2010,"A"
"116",116,115,"Georgia Governor - Handel vs. Barnes","Rasmussen Reports","Barnes 39, Handel 42",3,"2010-05-24",2010,"C+"
"117",117,116,"Alabama Governor - Moore vs. Davis","R2000/Daily Kos (D)","Moore 43, Davis 38",5,"2010-05-24",2010,"unknown"
"118",118,117,"Alabama Governor - Byrne vs. Sparks","R2000/Daily Kos (D)","Byrne 45, Sparks 34",11,"2010-05-24",2010,"unknown"
"119",119,118,"Alabama Governor - Moore vs. Sparks","R2000/Daily Kos (D)","Moore 41, Sparks 40",1,"2010-05-24",2010,"unknown"
"120",120,119,"New York Governor - Republican Primary","Siena","Lazio 29, Levy 14, Paladino 16",13,"2010-05-24",2010,"A"
"121",121,120,"Alabama Governor - Byrne vs. Davis","R2000/Daily Kos (D)","Byrne 48, Davis 31",17,"2010-05-24",2010,"unknown"
"122",122,121,"California Governor - Republican Primary","SurveyUSA","Whitman 54, Poizner 27",27,"2010-05-25",2010,"A"
"123",123,122,"California Governor - Republican Primary","PPP (D)","Whitman 51, Poizner 26",25,"2010-05-25",2010,"B"
"124",124,123,"South Carolina Governor - Republican Primary","PPP (D)","Haley 39, Barrett 16, McMaster 18, Bauer 13",21,"2010-05-25",2010,"B"
"125",125,124,"Oregon Governor - Dudley vs. Kitzhaber","Rasmussen Reports","Dudley 45, Kitzhaber 44",1,"2010-05-25",2010,"C+"
"126",126,125,"South Carolina Governor - Republican Primary","PPP (D)","Haley 39, McMaster 18, Barrett 16, Bauer 13",21,"2010-05-25",2010,"B"
"127",127,126,"South Carolina Governor - Democratic Primary","PPP (D)","Sheheen 36, Rex 30, Ford 11",6,"2010-05-25",2010,"B"
"128",128,127,"California Governor - Republican Primary","Magellan Strategies (R)","Whitman 54, Poizner 19",35,"2010-05-26",2010,"C+"
"129",129,128,"California Governor - Poizner vs. Brown","Rasmussen Reports","Brown 43, Poizner 42",1,"2010-05-26",2010,"C+"
"130",130,129,"California Governor - Whitman vs. Brown","Rasmussen Reports","Brown 45, Whitman 41",4,"2010-05-26",2010,"C+"
"131",131,130,"Massachusetts Governor - Baker vs. Patrick vs. Cahill","Suffolk/7News","Patrick 42, Baker 29, Cahill 14",13,"2010-05-26",2010,"B+"
"132",132,131,"South Carolina Governor - Haley vs. Rex","PPP (D)","Haley 45, Rex 36",9,"2010-05-26",2010,"B"
"133",133,132,"Minnesota Governor - Emmer vs. Dayton vs. Horner","Rasmussen Reports","Emmer 37, Dayton 35, Horner 12",2,"2010-05-26",2010,"C+"
"134",134,133,"Minnesota Governor - Emmer vs. Entenza vs. Horner","Rasmussen Reports","Emmer 37, Entenza 34, Horner 12",3,"2010-05-26",2010,"C+"
"135",135,134,"Minnesota Governor - Emmer vs. Kelliher vs. Horner","Rasmussen Reports","Emmer 38, Kelliher 36, Horner 11",2,"2010-05-26",2010,"C+"
"136",136,135,"Minnesota Governor - Emmer vs. Dayton vs. Horner","Rasmussen Reports","Dayton 35, Emmer 37, Horner 12",2,"2010-05-26",2010,"C+"
"137",137,136,"New Mexico Governor - Republican Primary","New Mexico Politics","Martinez 41, Weh 30",11,"2010-05-26",2010,"unknown"
"138",138,137,"South Carolina Governor - Barrett vs. Sheheen","PPP (D)","Barrett 43, Sheheen 33",10,"2010-05-26",2010,"B"
"139",139,138,"Arkansas Governor - Keet vs. Beebe","Rasmussen Reports","Beebe 53, Keet 38",15,"2010-05-26",2010,"C+"
"140",140,139,"South Carolina Governor - Haley vs. Sheheen","PPP (D)","Haley 44, Sheheen 34",10,"2010-05-26",2010,"B"
"141",141,140,"South Carolina Governor - McMaster vs. Rex","PPP (D)","McMaster 42, Rex 36",6,"2010-05-26",2010,"B"
"142",142,141,"South Carolina Governor - McMaster vs. Sheheen","PPP (D)","McMaster 43, Sheheen 36",7,"2010-05-26",2010,"B"
