,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
1347,3495,['H2OH10203'],C00499483,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-07-22,2012-05-21,2013-07-10,OH,1.0
1348,3496,['P80004336'],C00495721,P,Presidential,[2012],P,Principal campaign committee,T,2011-04-25,2011-04-25,2011-11-10,MD,1.0
1349,3507,['P60017977'],C00592642,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-11-23,2016-03-03,2018-04-26,PA,1.0
1350,3509,['H4NJ01118'],C00563692,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-05-20,2014-05-20,2018-04-26,NJ,1.0
1351,3510,['H4LA06112'],C00554253,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,Q,2014-01-02,2014-01-02,2018-10-31,LA,1.0
1352,3513,['H8PA07218'],C00669432,H,House,[2018],P,Principal campaign committee,T,2018-02-09,2018-02-09,2018-07-25,PA,1.0
1353,3514,['H4LA06138'],C00557363,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-02-14,2014-02-14,2018-04-26,LA,1.0
1354,3517,['H6NY03213'],C00605477,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-01-20,2016-01-20,2018-04-26,NY,1.0
1355,3518,['H8AR02159'],C00671156,H,House,[2018],P,Principal campaign committee,Q,2018-02-23,2018-08-18,2018-11-01,AR,1.0
1356,3520,['H2CT05156'],C00495325,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-04-18,2011-04-18,2013-02-04,CT,1.0
1357,3526,['H8NY23191'],C00654962,H,House,[2018],P,Principal campaign committee,Q,2017-09-08,2017-09-08,2017-09-08,NY,1.0
1358,3529,['H8SC04417'],C00675330,H,House,[2018],P,Principal campaign committee,T,2018-04-03,2018-04-03,2018-10-03,SC,1.0
1359,3530,['H4NY22051'],C00632828,H,House,[2018],P,Principal campaign committee,Q,2017-02-13,2018-10-15,2018-11-02,NY,1.0
1360,3531,['H6VA09060'],C00594481,H,House,[2016],P,Principal campaign committee,T,2015-12-08,2015-12-08,2016-05-10,VA,1.0
1361,3532,['H4NC02127'],C00556092,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-01-31,2014-04-04,2016-03-22,NC,1.0
1362,3533,['H8NM02230'],C00665463,H,House,[2018],P,Principal campaign committee,T,2018-01-10,2018-01-10,2018-09-13,NM,1.0
1363,3534,['H6CT05157'],C00605659,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-01-21,2016-01-21,2018-04-25,CT,1.0
1364,3535,['H4PA13223'],C00554873,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-01-10,2014-01-10,2018-04-26,PA,1.0
1365,3536,['H8OK02155'],C00670703,H,House,[2018],P,Principal campaign committee,T,2018-02-21,2018-02-21,2018-10-12,OK,1.0
1366,3537,['S4SD00114'],C00564245,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-06-03,2014-06-03,2018-04-26,SD,1.0
1367,3538,['H0CA45061'],C00515924,H,House,"[2012, 2014]",P,Principal campaign committee,A,2012-03-19,2012-04-13,2013-04-08,CA,1.0
