race_type,top_candidates,date
house,"['demaio', 'peters']",2014-10-08
house,"['peterson', 'westrom']",2014-10-10
house,"['curbelo', 'garcia']",2014-10-12
house,"['cain', 'poliquin']",2014-10-14
house,"['guinta', 'shea-porter']",2014-10-14
house,"['young', 'appel']",2014-10-14
house,"['kuster', 'garcia']",2014-10-14
house,"['cain', 'poliquin']",2014-10-14
house,"['love', 'owens']",2014-10-14
house,"['macarthur', 'belgard']",2014-10-14
house,"['garrett', 'cho']",2014-10-15
house,"['poliquin', 'cain']",2014-10-15
house,"['tisei', 'moulton']",2014-10-16
house,"['lobiondo', 'hughes']",2014-10-16
house,"['zinke', 'lewis']",2014-10-18
house,"['trott', 'mckenzie']",2014-10-18
house,"['mills', 'nolan']",2014-10-18
house,"['garcia', 'kuster']",2014-10-20
house,"['shea-porter', 'guinta']",2014-10-20
house,"['honda', 'khanna']",2014-10-20
house,"['hays', 'hill']",2014-10-21
house,"['keating', 'chapman']",2014-10-21
house,"['westerman', 'witt']",2014-10-21
house,"['crawford', 'mcpherson']",2014-10-21
house,"['valadao', 'renteria']",2014-10-22
house,"['kuster', 'garcia']",2014-10-22
house,"['guinta', 'shea-porter']",2014-10-22
house,"['demaio', 'peters']",2014-10-22
house,"['rice', 'blakeman']",2014-10-23
house,"['djou', 'takai']",2014-10-24
house,"['poliquin', 'cain']",2014-10-26
house,"['stefanik', 'woolf']",2014-10-27
house,"['king', 'mowrer']",2014-10-27
house,"['young', 'appel']",2014-10-27
house,"['loebsack', 'miller-meeks']",2014-10-27
house,"['blum', 'murphy']",2014-10-27
house,"['young', 'dunbar']",2014-10-28
house,"['katko', 'maffei']",2014-10-28
house,"['barber', 'mcsally']",2014-10-28
house,"['cain', 'poliquin']",2014-10-28
house,"['kuster', 'garcia']",2014-10-28
house,"['kuster', 'garcia']",2014-10-28
house,"['guinta', 'shea-porter']",2014-10-28
house,"['shea-porter', 'guinta']",2014-10-28
house,"['djou', 'takai']",2014-10-28
house,"['lobiondo', 'hughes']",2014-10-29
house,"['gibson', 'eldridge']",2014-10-29
house,"['keating', 'chapman']",2014-10-30
house,"['tisei', 'moulton']",2014-10-30
house,"['garrett', 'cho']",2014-10-30
house,"['macarthur', 'belgard']",2014-10-30
house,"['maloney', 'hayworth']",2014-10-31
house,"['love', 'owens']",2014-10-31
house,"['zeldin', 'bishop']",2014-11-01
house,"['allen', 'barrow']",2014-11-01
house,"['grimm', 'recchia']",2014-11-01
house,"['demaio', 'peters']",2014-11-02
house,"['young', 'dunbar']",2014-11-03
house,"['allen', 'barrow']",2014-11-03
house,"['kuster', 'garcia']",2014-11-03
house,"['kuster', 'garcia']",2014-11-03
house,"['guinta', 'shea-porter']",2014-11-03
house,"['guinta', 'shea-porter']",2014-11-03
house,"['poliquin', 'cain']",2014-11-03
house,"['shea-porter', 'ashooh']",2016-08-31
house,"['shea-porter', 'guinta']",2016-08-31
house,"['kuster', 'lawrence']",2016-08-31
house,"['pingree', 'holbrook']",2016-09-14
house,"['poliquin', 'cain']",2016-09-14
house,"['poliquin', 'cain']",2016-09-25
house,"['pingree', 'holbrook']",2016-09-25
house,"['blum', 'vernon']",2016-09-27
house,"['young', 'mowrer']",2016-09-27
house,"['zeldin', 'throne-holst']",2016-10-08
house,"['suozzi', 'martins']",2016-10-08
house,"['crist', 'jolly']",2016-10-13
house,"['paulsen', 'bonoff']",2016-10-17
house,"['craig', 'lewis']",2016-10-17
house,"['shea-porter', 'guinta']",2016-10-21
house,"['kuster', 'lawrence']",2016-10-21
house,"['mills', 'nolan']",2016-10-24
house,"['shea-porter', 'guinta']",2016-10-25
house,"['kuster', 'lawrence']",2016-10-25
house,"['zinke', 'juneau']",2016-10-26
house,"['pingree', 'holbrook']",2016-10-30
house,"['cain', 'poliquin']",2016-10-30
house,"['teachout', 'faso']",2016-10-31
house,"['kuster', 'lawrence']",2016-10-31
house,"['shea-porter', 'guinta']",2016-10-31
house,"['hollingsworth', 'yoder']",2016-11-04
house,"['blum', 'vernon']",2016-11-05
house,"['young', 'mowrer']",2016-11-05
house,"['ossoff', 'handel']",2017-04-04
house,"['ossoff', 'handel']",2017-04-14
house,"['ossoff', 'handel']",2017-04-14
house,"['ossoff', 'handel']",2017-04-15
house,"['handel', 'ossoff']",2017-04-17
house,"['ossoff', 'handel']",2017-04-17
house,"['ossoff', 'gray']",2017-04-17
house,"['handel', 'ossoff']",2017-05-06
house,"['ossoff', 'handel']",2017-05-14
house,"['ossoff', 'handel']",2017-05-22
house,"['gianforte', 'quist']",2017-05-22
house,"['ossoff', 'handel']",2017-06-02
house,"['ossoff', 'handel']",2017-06-08
house,"['ossoff', 'handel']",2017-06-09
house,"['handel', 'ossoff']",2017-06-13
house,"['ossoff', 'handel']",2017-06-14
house,"['ossoff', 'handel']",2017-06-17
house,"['ossoff', 'handel']",2017-06-17
