,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Unnamed: 0,Year
103,Minnesota Governor - Emmer vs. Dayton vs. Horner,Minn. Pub. Radio,"Emmer 31, Dayton 35, Horner 9",Dayton +4,2010-05-21,371.0,2010.0
104,Minnesota Governor - Emmer vs. Kelliher vs. Horner,Minn. Pub. Radio,"Emmer 31, Kelliher 29, Horner 10",Emmer +2,2010-05-21,372.0,2010.0
105,Minnesota Governor - Emmer vs. Entenza vs. Horner,Minn. Pub. Radio,"Emmer 32, Entenza 28, Horner 11",Emmer +4,2010-05-21,373.0,2010.0
106,California Governor - Republican Primary,R2000/Daily Kos (D),"Whitman 46, Poizner 36",Whitman +10,2010-05-21,375.0,2010.0
107,Florida Governor - Republican Primary,St. Petersburg Times,"Scott 22, McCollum 46",McCollum +24,2010-05-22,376.0,2010.0
108,Florida Governor - Republican Primary,St. Petersburg Times,"McCollum 46, Scott 22, Dockery",McCollum +24,2010-05-22,377.0,2010.0
109,Florida Governor - McCollum vs. Sink,St. Petersburg Times,"McCollum 34, Sink 32",McCollum +2,2010-05-22,378.0,2010.0
110,New York Governor - Republican Primary,Siena,"Lazio 29, Levy 14, Paladino 16",Lazio +13,2010-05-24,381.0,2010.0
111,New York Governor - Lazio vs. Cuomo,Siena,"Cuomo 66, Lazio 24",Cuomo +42,2010-05-24,385.0,2010.0
112,New York Governor - Levy vs. Cuomo,Siena,"Cuomo 65, Levy 22",Cuomo +43,2010-05-24,386.0,2010.0
113,New York Governor - Republican Primary,Siena,"Lazio 29, Paladino 16",Lazio +13,2010-05-24,387.0,2010.0
114,Georgia Governor - Oxendine vs. Barnes,Rasmussen Reports,"Barnes 39, Oxendine 43",Oxendine +4,2010-05-24,391.0,2010.0
115,Georgia Governor - Deal vs. Barnes,Rasmussen Reports,"Barnes 40, Deal 47",Deal +7,2010-05-24,392.0,2010.0
116,Georgia Governor - Handel vs. Barnes,Rasmussen Reports,"Barnes 39, Handel 42",Handel +3,2010-05-24,393.0,2010.0
117,Alabama Governor - Byrne vs. Davis,R2000/Daily Kos (D),"Byrne 48, Davis 31",Byrne +17,2010-05-24,394.0,2010.0
118,Alabama Governor - Moore vs. Davis,R2000/Daily Kos (D),"Moore 43, Davis 38",Moore +5,2010-05-24,395.0,2010.0
119,Alabama Governor - Byrne vs. Sparks,R2000/Daily Kos (D),"Byrne 45, Sparks 34",Byrne +11,2010-05-24,396.0,2010.0
120,Alabama Governor - Moore vs. Sparks,R2000/Daily Kos (D),"Moore 41, Sparks 40",Moore +1,2010-05-24,397.0,2010.0
121,California Governor - Republican Primary,PPP (D),"Whitman 51, Poizner 26",Whitman +25,2010-05-25,401.0,2010.0
122,South Carolina Governor - Republican Primary,PPP (D),"Haley 39, Barrett 16, McMaster 18, Bauer 13",Haley +21,2010-05-25,408.0,2010.0
123,California Governor - Republican Primary,SurveyUSA,"Whitman 54, Poizner 27",Whitman +27,2010-05-25,409.0,2010.0
124,South Carolina Governor - Republican Primary,PPP (D),"Haley 39, McMaster 18, Barrett 16, Bauer 13",Haley +21,2010-05-25,412.0,2010.0
125,South Carolina Governor - Democratic Primary,PPP (D),"Sheheen 36, Rex 30, Ford 11",Sheheen +6,2010-05-25,414.0,2010.0
126,Oregon Governor - Dudley vs. Kitzhaber,Rasmussen Reports,"Dudley 45, Kitzhaber 44",Dudley +1,2010-05-25,415.0,2010.0
127,California Governor - Whitman vs. Brown,Rasmussen Reports,"Brown 45, Whitman 41",Brown +4,2010-05-26,424.0,2010.0
128,California Governor - Poizner vs. Brown,Rasmussen Reports,"Brown 43, Poizner 42",Brown +1,2010-05-26,425.0,2010.0
129,California Governor - Republican Primary,Magellan Strategies (R),"Whitman 54, Poizner 19",Whitman +35,2010-05-26,427.0,2010.0
130,Massachusetts Governor - Baker vs. Patrick vs. Cahill,Suffolk/7News,"Patrick 42, Baker 29, Cahill 14",Patrick +13,2010-05-26,430.0,2010.0
131,South Carolina Governor - Haley vs. Rex,PPP (D),"Haley 45, Rex 36",Haley +9,2010-05-26,431.0,2010.0
132,Minnesota Governor - Emmer vs. Dayton vs. Horner,Rasmussen Reports,"Emmer 37, Dayton 35, Horner 12",Emmer +2,2010-05-26,432.0,2010.0
133,South Carolina Governor - Barrett vs. Sheheen,PPP (D),"Barrett 43, Sheheen 33",Barrett +10,2010-05-26,433.0,2010.0
134,Minnesota Governor - Emmer vs. Entenza vs. Horner,Rasmussen Reports,"Emmer 37, Entenza 34, Horner 12",Emmer +3,2010-05-26,434.0,2010.0
135,Minnesota Governor - Emmer vs. Kelliher vs. Horner,Rasmussen Reports,"Emmer 38, Kelliher 36, Horner 11",Emmer +2,2010-05-26,435.0,2010.0
136,Minnesota Governor - Emmer vs. Dayton vs. Horner,Rasmussen Reports,"Dayton 35, Emmer 37, Horner 12",Emmer +2,2010-05-26,436.0,2010.0
137,New Mexico Governor - Republican Primary,New Mexico Politics,"Martinez 41, Weh 30",Martinez +11,2010-05-26,437.0,2010.0
138,Arkansas Governor - Keet vs. Beebe,Rasmussen Reports,"Beebe 53, Keet 38",Beebe +15,2010-05-26,439.0,2010.0
139,South Carolina Governor - McMaster vs. Sheheen,PPP (D),"McMaster 43, Sheheen 36",McMaster +7,2010-05-26,441.0,2010.0
140,South Carolina Governor - McMaster vs. Rex,PPP (D),"McMaster 42, Rex 36",McMaster +6,2010-05-26,442.0,2010.0
141,South Carolina Governor - Haley vs. Sheheen,PPP (D),"Haley 44, Sheheen 34",Haley +10,2010-05-26,443.0,2010.0
142,New Mexico Governor - Martinez vs. Denish,SurveyUSA,"Martinez 49, Denish 43",Martinez +6,2010-05-27,448.0,2010.0
143,Connecticut Governor - Democratic Primary,Quinnipiac,"Lamont 41, Malloy 24",Lamont +17,2010-05-27,449.0,2010.0
144,California Governor - Whitman vs. Brown,PPP (D),"Brown 48, Whitman 36",Brown +12,2010-05-27,450.0,2010.0
145,California Governor - Poizner vs. Brown,PPP (D),"Brown 48, Poizner 32",Brown +16,2010-05-27,451.0,2010.0
146,New Mexico Governor - Weh vs. Denish,SurveyUSA,"Denish 47, Weh 42",Denish +5,2010-05-27,453.0,2010.0
147,New Mexico Governor - Martinez vs. Denish,Rasmussen Reports,"Martinez 42, Denish 43",Denish +1,2010-05-27,455.0,2010.0
148,New Mexico Governor - Republican Primary,SurveyUSA,"Martinez 43, Weh 33",Martinez +10,2010-05-27,456.0,2010.0
149,Wisconsin Governor - Neumann vs. Barrett,Rasmussen Reports,"Neumann 44, Barrett 42",Neumann +2,2010-05-27,457.0,2010.0
150,Wisconsin Governor - Walker vs. Barrett,Rasmussen Reports,"Walker 48, Barrett 41",Walker +7,2010-05-27,460.0,2010.0
151,New Mexico Governor - Weh vs. Denish,Rasmussen Reports,"Denish 45, Weh 39",Denish +6,2010-05-27,464.0,2010.0
152,Ohio Governor - Kasich vs. Strickland,University of Cincinnati,"Strickland 49, Kasich 44",Strickland +5,2010-05-28,468.0,2010.0
153,Alabama Governor - Bentley vs. Sparks,Rasmussen Reports,"Bentley 44, Sparks 31",Bentley +13,2010-05-28,476.0,2010.0
154,South Dakota Governor - Daugaard vs. Heidepriem,Rasmussen Reports,"Daugaard 51, Heidepreim 36",Daugaard +15,2010-05-28,477.0,2010.0
155,South Dakota Governor - Knudson vs. Heidepriem,Rasmussen Reports,"Knudson 49, Heidepreim 34",Knudson +15,2010-05-28,478.0,2010.0
156,Alabama Governor - Byrne vs. Davis,Rasmussen Reports,"Byrne 47, Davis 33",Byrne +14,2010-05-28,479.0,2010.0
157,Alabama Governor - Moore vs. Davis,Rasmussen Reports,"Moore 43, Davis 40",Moore +3,2010-05-28,480.0,2010.0
158,Alabama Governor - Byrne vs. Sparks,Rasmussen Reports,"Byrne 45, Sparks 32",Byrne +13,2010-05-28,481.0,2010.0
159,Alabama Governor - Moore vs. Sparks,Rasmussen Reports,"Moore 38, Sparks 40",Sparks +2,2010-05-28,482.0,2010.0
160,Rhode Island Governor - Chafee vs. Lynch vs. Robitaille,Rasmussen Reports,"Chafee 37, Robitaille 29, Lynch 19",Chafee +8,2010-05-29,484.0,2010.0
161,Rhode Island Governor - Chafee vs. Caprio vs. Robitaille,Rasmussen Reports,"Chafee 35, Caprio 32, Robitaille 25",Chafee +3,2010-05-29,485.0,2010.0
162,California Governor - Whitman vs. Brown,LA Times/USC,"Brown 44, Whitman 38",Brown +6,2010-05-30,486.0,2010.0
163,California Governor - Poizner vs. Brown,LA Times/USC,"Brown 45, Poizner 31",Brown +14,2010-05-30,487.0,2010.0
164,California Governor - Republican Primary,LA Times/USC,"Whitman 53, Poizner 29",Whitman +24,2010-05-30,488.0,2010.0
165,New Hampshire Governor - Kimball vs. Lynch,Rasmussen Reports,"Lynch 50, Kimball 31",Lynch +19,2010-05-31,493.0,2010.0
166,New Hampshire Governor - Testerman vs. Lynch,Rasmussen Reports,"Lynch 51, Testerman 32",Lynch +19,2010-05-31,494.0,2010.0
167,New Hampshire Governor - Stephen vs. Lynch,Rasmussen Reports,"Lynch 47, Stephen 35",Lynch +12,2010-05-31,495.0,2010.0
168,South Carolina Governor - Republican Primary,Statehouse/InAdv,"Haley 31, Barrett 14, McMaster 14, Bauer 21",Haley +10,2010-06-01,499.0,2010.0
169,Iowa Governor - Republican Primary,PPP (D),"Branstad 46, Vander Plaats 31, Roberts 13",Branstad +15,2010-06-01,501.0,2010.0
170,Michigan Governor - Republican Primary,PPP (D),"Hoekstra 19, Snyder 20, Cox 17, Bouchard 15",Snyder +1,2010-06-01,502.0,2010.0
171,Michigan Governor - Democratic Primary,PPP (D),"Dillon 23, Bernero 26",Bernero +3,2010-06-01,503.0,2010.0
172,South Carolina Governor - Democratic Primary,Statehouse/InAdv,"Sheheen 26, Rex 17, Ford 12",Sheheen +9,2010-06-01,504.0,2010.0
173,Michigan Governor - Cox vs. Dillon,PPP (D),"Cox 40, Dillon 32",Cox +8,2010-06-02,508.0,2010.0
174,Michigan Governor - Hoekstra vs. Dillon,PPP (D),"Hoekstra 41, Dillon 32",Hoekstra +9,2010-06-02,509.0,2010.0
175,Michigan Governor - Snyder vs. Dillon,PPP (D),"Snyder 46, Dillon 26",Snyder +20,2010-06-02,510.0,2010.0
176,Michigan Governor - Bouchard vs. Bernero,PPP (D),"Bouchard 39, Bernero 34",Bouchard +5,2010-06-02,511.0,2010.0
177,Michigan Governor - Cox vs. Bernero,PPP (D),"Cox 38, Bernero 36",Cox +2,2010-06-02,512.0,2010.0
178,Michigan Governor - Hoekstra vs. Bernero,PPP (D),"Hoekstra 41, Bernero 34",Hoekstra +7,2010-06-02,513.0,2010.0
179,Michigan Governor - Snyder vs. Bernero,PPP (D),"Snyder 44, Bernero 28",Snyder +16,2010-06-02,514.0,2010.0
180,Michigan Governor - Bouchard vs. Dillon,PPP (D),"Bouchard 38, Dillon 29",Bouchard +9,2010-06-02,515.0,2010.0
