,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
198,new york 11th district,house,NY,"['grimm', 'murphy']",siena,"{'grimm': 48.0, 'murphy': 38.0}",grimm,10.0,2012-09-25,grimm,11
199,new york 25th district,house,NY,"['slaughter', 'brooks']",siena,"{'slaughter': 52.0, 'brooks': 42.0}",slaughter,10.0,2012-09-27,slaughter,25
200,washington 6th district,house,WA,"['kilmer', 'driscoll']",surveyusa,"{'kilmer': 52.0, 'driscoll': 37.0}",kilmer,15.0,2012-09-28,kilmer,6
201,massachusetts 6th district,house,MA,"['tisei', 'tierney']",boston globe,"{'tisei': 37.0, 'tierney': 31.0}",tisei,6.0,2012-10-01,<BLANK>,6
202,rhode island 1st district,house,RI,"['cicilline', 'doherty']",wpri/fleming,"{'cicilline': 44.0, 'doherty': 38.0}",cicilline,6.0,2012-10-02,cicilline,1
203,utah 4th district,house,UT,"['love', 'matheson']",deseret news/ksl,"{'love': 49.0, 'matheson': 43.0}",love,6.0,2012-10-02,matheson,4
204,new hampshire 2nd district,house,NH,"['kuster', 'bass']",wmur/unh,"{'kuster': 42.0, 'bass': 41.0}",kuster,1.0,2012-10-04,<BLANK>,2
205,new hampshire 1st district,house,NH,"['shea-porter', 'guinta']",wmur/unh,"{'guinta': 38.0, 'shea-porter': 47.0}",shea-porter,9.0,2012-10-04,guinta,1
206,new jersey 3rd district,house,NJ,"['runyan', 'adler']",richard stockton col.,"{'runyan': 49.0, 'adler': 39.0}",runyan,10.0,2012-10-05,runyan,3
207,new york 27th district,house,NY,"['collins', 'hochul']",siena,"{'collins': 47.0, 'hochul': 47.0}",,,2012-10-07,collins,27
208,rhode island 1st district,house,RI,"['cicilline', 'doherty']",brown university,"{'cicilline': 46.0, 'doherty': 40.0}",cicilline,6.0,2012-10-10,cicilline,1
209,new hampshire 2nd district,house,NH,"['kuster', 'bass']",wmur/unh,"{'kuster': 38.0, 'bass': 35.0}",kuster,3.0,2012-10-11,<BLANK>,2
210,new hampshire 1st district,house,NH,"['guinta', 'shea-porter']",wmur/unh,"{'guinta': 45.0, 'shea-porter': 35.0}",guinta,10.0,2012-10-11,guinta,1
211,illinois 8th district,house,IL,"['walsh', 'duckworth']",weaskamerica,"{'duckworth': 45.0, 'walsh': 48.0}",walsh,3.0,2012-10-12,duckworth,8
212,new york 25th district,house,NY,"['slaughter', 'brooks']",siena,"{'slaughter': 49.0, 'brooks': 44.0}",slaughter,5.0,2012-10-14,slaughter,25
213,virginia 2nd district,house,VA,"['rigell', 'hirschbiel']",virginian-pilot/cnu,"{'rigell': 44.0, 'hirschbiel': 32.0}",rigell,12.0,2012-10-15,rigell,2
214,minnesota 6th district,house,MN,"['bachmann', 'graves']",kstp/surveyusa,"{'bachmann': 50.0, 'graves': 41.0}",bachmann,9.0,2012-10-16,bachmann,6
215,new mexico 1st district,house,NM,"['grisham', 'arnold-jones']",albuquerque journal,"{'grisham': 51.0, 'arnold-jones': 37.0}",grisham,14.0,2012-10-16,<BLANK>,1
216,florida 22nd district,house,FL,"['frankel', 'hasner']",ppp (d),"{'frankel': 47.0, 'hasner': 44.0}",frankel,3.0,2012-10-18,frankel,22
217,florida 22nd district,house,FL,"['frankel', 'hasner']",sunshine state news/vss,"{'frankel': 47.0, 'hasner': 47.0}",,,2012-10-18,frankel,22
218,florida 18th district,house,FL,"['west', 'murphy']",ppp (d),"{'west': 51.0, 'murphy': 42.0}",west,9.0,2012-10-19,murphy,18
