,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
159,Alabama Governor - Moore vs. Sparks,Rasmussen Reports,"Moore 38, Sparks 40",2,2010-05-28,2010,7.0
160,Rhode Island Governor - Chafee vs. Lynch vs. Robitaille,Rasmussen Reports,"Chafee 37, Robitaille 29, Lynch 19",8,2010-05-29,2010,7.0
161,Rhode Island Governor - Chafee vs. Caprio vs. Robitaille,Rasmussen Reports,"Chafee 35, Caprio 32, Robitaille 25",3,2010-05-29,2010,7.0
162,California Governor - Whitman vs. Brown,LA Times/USC,"Brown 44, Whitman 38",6,2010-05-30,2010,6.0
163,California Governor - Poizner vs. Brown,LA Times/USC,"Brown 45, Poizner 31",14,2010-05-30,2010,6.0
164,California Governor - Republican Primary,LA Times/USC,"Whitman 53, Poizner 29",24,2010-05-30,2010,6.0
165,New Hampshire Governor - Kimball vs. Lynch,Rasmussen Reports,"Lynch 50, Kimball 31",19,2010-05-31,2010,7.0
166,New Hampshire Governor - Testerman vs. Lynch,Rasmussen Reports,"Lynch 51, Testerman 32",19,2010-05-31,2010,7.0
167,New Hampshire Governor - Stephen vs. Lynch,Rasmussen Reports,"Lynch 47, Stephen 35",12,2010-05-31,2010,7.0
168,South Carolina Governor - Republican Primary,Statehouse/InAdv,"Haley 31, Barrett 14, McMaster 14, Bauer 21",10,2010-06-01,2010,0.0
169,Iowa Governor - Republican Primary,PPP (D),"Branstad 46, Vander Plaats 31, Roberts 13",15,2010-06-01,2010,9.0
170,Michigan Governor - Republican Primary,PPP (D),"Hoekstra 19, Snyder 20, Cox 17, Bouchard 15",1,2010-06-01,2010,9.0
171,Michigan Governor - Democratic Primary,PPP (D),"Dillon 23, Bernero 26",3,2010-06-01,2010,9.0
172,South Carolina Governor - Democratic Primary,Statehouse/InAdv,"Sheheen 26, Rex 17, Ford 12",9,2010-06-01,2010,0.0
173,Michigan Governor - Cox vs. Dillon,PPP (D),"Cox 40, Dillon 32",8,2010-06-02,2010,9.0
174,Michigan Governor - Hoekstra vs. Dillon,PPP (D),"Hoekstra 41, Dillon 32",9,2010-06-02,2010,9.0
175,Michigan Governor - Snyder vs. Dillon,PPP (D),"Snyder 46, Dillon 26",20,2010-06-02,2010,9.0
176,Michigan Governor - Bouchard vs. Bernero,PPP (D),"Bouchard 39, Bernero 34",5,2010-06-02,2010,9.0
177,Michigan Governor - Cox vs. Bernero,PPP (D),"Cox 38, Bernero 36",2,2010-06-02,2010,9.0
178,Michigan Governor - Hoekstra vs. Bernero,PPP (D),"Hoekstra 41, Bernero 34",7,2010-06-02,2010,9.0
179,Michigan Governor - Snyder vs. Bernero,PPP (D),"Snyder 44, Bernero 28",16,2010-06-02,2010,9.0
180,Michigan Governor - Bouchard vs. Dillon,PPP (D),"Bouchard 38, Dillon 29",9,2010-06-02,2010,9.0
181,Iowa Governor - Branstad vs. Culver,PPP (D),"Branstad 52, Culver 37",15,2010-06-03,2010,9.0
182,Nevada Governor - Gibbons vs. Reid,R2000/Daily Kos (D),"Reid 52, Gibbons 31",21,2010-06-03,2010,0.0
183,Nevada Governor - Sandoval vs. Reid,R2000/Daily Kos (D),"Sandoval 51, Reid 41",10,2010-06-03,2010,0.0
184,Nevada Governor - Republican Primary,R2000/Daily Kos (D),"Sandoval 48, Gibbons 27",21,2010-06-03,2010,0.0
185,Nevada Governor - Republican Primary,Suffolk University,"Sandoval 47, Gibbons 25",22,2010-06-03,2010,10.0
186,Iowa Governor - Vander Plaats vs. Culver,PPP (D),"Vander Plaats 43, Culver 38",5,2010-06-03,2010,9.0
187,Iowa Governor - Branstad vs. Culver,Research 2000,"Branstad 51, Culver 42",9,2010-06-03,2010,1.0
188,Michigan Governor - Democratic Primary,EPIC-MRA,"Dillon 29, Bernero 23",6,2010-06-03,2010,10.0
189,Michigan Governor - Republican Primary,EPIC-MRA,"Hoekstra 30, Snyder 17, Cox 18, Bouchard 16",12,2010-06-03,2010,10.0
190,Michigan Governor - Hoekstra vs. Bernero,EPIC-MRA,"Hoekstra 47, Bernero 34",13,2010-06-03,2010,10.0
191,Michigan Governor - Snyder vs. Bernero,EPIC-MRA,"Snyder 51, Bernero 28",23,2010-06-03,2010,10.0
192,Michigan Governor - Bouchard vs. Bernero,EPIC-MRA,"Bouchard 48, Bernero 32",16,2010-06-03,2010,10.0
193,Michigan Governor - Snyder vs. Dillon,EPIC-MRA,"Snyder 50, Dillon 31",19,2010-06-03,2010,10.0
194,Michigan Governor - Bouchard vs. Dillon,EPIC-MRA,"Bouchard 49, Dillon 33",16,2010-06-03,2010,10.0
195,Michigan Governor - Hoekstra vs. Dillon,EPIC-MRA,"Hoekstra 47, Dillon 35",12,2010-06-03,2010,10.0
196,Michigan Governor - Cox vs. Dillon,EPIC-MRA,"Cox 46, Dillon 37",9,2010-06-03,2010,10.0
197,Michigan Governor - Cox vs. Bernero,EPIC-MRA,"Cox 46, Bernero 36",10,2010-06-03,2010,10.0
198,California Governor - Republican Primary,Field,"Whitman 51, Poizner 25",26,2010-06-04,2010,13.0
199,New Mexico Governor - Martinez vs. Denish,Rasmussen Reports,"Martinez 44, Denish 42",2,2010-06-04,2010,7.0
200,Connecticut Governor - Foley vs. Malloy,Rasmussen Reports,"Malloy 44, Foley 35",9,2010-06-04,2010,7.0
201,Connecticut Governor - Foley vs. Lamont,Rasmussen Reports,"Lamont 36, Foley 38",2,2010-06-04,2010,7.0
202,Nevada Governor - Gibbons vs. Reid,LVRJ/Mason-Dixon,"Reid 44, Gibbons 38",6,2010-06-06,2010,10.0
203,Nevada Governor - Sandoval vs. Reid,LVRJ/Mason-Dixon,"Sandoval 51, Reid 37",14,2010-06-06,2010,10.0
