,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
1907,Kentucky Governor - Comer vs. Conway,Courier-Journal/SurveyUSA,"Conway 40, Comer 38",2,2015-03-11,2015,12.0
1908,Kentucky Governor - Heiner vs. Conway,Courier-Journal/SurveyUSA,"Conway 41, Heiner 38",3,2015-03-11,2015,12.0
1909,Kentucky Governor - Scott vs. Conway,Courier-Journal/SurveyUSA,"Conway 43, Scott 24",19,2015-03-11,2015,12.0
1910,North Carolina Governor - McCrory vs. Cooper,PPP (D),"McCrory 44, Cooper 41",3,2015-04-08,2015,9.0
1911,North Carolina Governor - McCrory vs. Spaulding,PPP (D),"McCrory 46, Spaulding 33",13,2015-04-08,2015,9.0
1912,New Hampshire Governor - Lozeau vs. Hassan,PPP (D),"Hassan 55, Lozeau 25",30,2015-04-17,2015,9.0
1913,New Hampshire Governor - Sununu vs. Hassan,PPP (D),"Hassan 52, Sununu 35",17,2015-04-17,2015,9.0
1914,North Carolina Governor - McCrory vs. Cooper,Elon University,"McCrory 45, Cooper 43",2,2015-04-28,2015,11.0
1915,Mississippi Governor - Bryant vs. Slater,Mason-Dixon,"Bryant 61, Slater 30",31,2015-04-28,2015,10.0
1916,Mississippi Governor - Bryant vs. Short,Mason-Dixon,"Bryant 63, Short 28",35,2015-04-28,2015,10.0
1917,New Hampshire Governor - Sununu vs. Hassan,Dartmouth,"Hassan 44, Sununu 26",18,2015-05-06,2015,8.0
1918,New Hampshire Governor - Lozeau vs. Hassan,Dartmouth,"Hassan 43, Lozeau 13",30,2015-05-06,2015,8.0
1919,Kentucky Governor - GOP Primary (May 19),Courier-Journal/SurveyUSA,"Bevin 27, Comer 26, Heiner 25, Scott 8",1,2015-05-12,2015,12.0
1920,North Carolina Governor - McCrory vs. Cooper,PPP (D),"McCrory 41, Cooper 44",3,2015-06-03,2015,9.0
1921,North Carolina Governor - McCrory vs. Spaulding,PPP (D),"McCrory 43, Spaulding 32",11,2015-06-03,2015,9.0
1922,Kentucky Governor - Bevin vs. Conway,PPP (D),"Conway 38, Bevin 40",2,2015-06-23,2015,9.0
1923,North Carolina Governor - McCrory vs. Cooper,PPP (D),"McCrory 41, Cooper 43",2,2015-07-09,2015,9.0
1924,New Hampshire Governor - Sununu vs. Hassan,WMUR/UNH,"Hassan 48, Sununu 32",16,2015-07-23,2015,0.0
1925,Missouri Governor - Kinder vs. Koster,PPP (D),"Kinder 40, Koster 37",3,2015-08-11,2015,9.0
1926,Missouri Governor - Brunner vs. Koster,PPP (D),"Koster 41, Brunner 36",5,2015-08-11,2015,9.0
1927,Missouri Governor - Asbury vs. Koster,PPP (D),"Koster 40, Asbury 35",5,2015-08-11,2015,9.0
1928,New Hampshire Governor - Bradley vs. Hassan,PPP (D),"Hassan 48, Bradley 39",9,2015-08-27,2015,9.0
1929,New Hampshire Governor - Sununu vs. Hassan,PPP (D),"Hassan 48, Sununu 41",7,2015-08-27,2015,9.0
1930,North Carolina Governor - McCrory vs. Cooper,Elon University,"McCrory 43, Cooper 42",1,2015-09-26,2015,11.0
1931,North Carolina Governor - McCrory vs. Cooper,PPP (D),"McCrory 44, Cooper 41",3,2015-09-30,2015,9.0
1932,Kentucky Governor - Bevin vs. Conway vs. Curtis,Courier-Journal/SurveyUSA,"Conway 42, Bevin 37, Curtis 7",5,2015-10-01,2015,12.0
1933,Kentucky Governor - Bevin vs. Conway vs. Curtis,Mason-Dixon,"Conway 43, Bevin 41, Curtis 6",2,2015-10-09,2015,10.0
1934,Kentucky Governor - Bevin vs. Conway vs. Curtis,Western Kentucky Univ.,"Conway 45, Bevin 40, Curtis 7",5,2015-10-27,2015,7.0
1935,Kentucky Governor - Bevin vs. Conway vs. Curtis,Courier-Journal/SurveyUSA,"Conway 45, Bevin 40, Curtis 6",5,2015-10-29,2015,12.0
1936,North Carolina Governor - McCrory vs. Cooper,PPP (D),"Cooper 44, McCrory 43",1,2015-10-29,2015,9.0
1937,Kentucky Governor - Bevin vs. Conway vs. Curtis,Vox Populi (R),"Conway 44, Bevin 44, Curtis 6",0,2015-10-30,2015,9.0
1938,Louisiana Governor - Vitter vs. Edwards,Market Research Insight,"Edwards 54, Vitter 38",16,2015-10-31,2015,10.0
1939,Louisiana Governor - Vitter vs. Edwards,University of New Orleans,"Edwards 56, Vitter 34",22,2015-11-12,2015,6.0
1940,Louisiana Governor - Vitter vs. Edwards,Market Research Insight,"Edwards 52, Vitter 38",14,2015-11-13,2015,10.0
1941,North Carolina Governor - McCrory vs. Cooper,PPP (D),"McCrory 44, Cooper 42",2,2015-12-09,2015,9.0
1942,Washington Governor - Bryant vs. Inslee,Elway Poll,"Inslee 39, Bryant 30",9,2016-01-06,2016,0.0
1943,North Carolina Governor - McCrory vs. Cooper,PPP (D),"Cooper 43, McCrory 40",3,2016-01-21,2016,9.0
1944,North Carolina Governor - McCrory vs. Cooper,Elon University,"Cooper 42, McCrory 40",2,2016-02-22,2016,11.0
1945,North Carolina Governor - McCrory vs. Cooper,SurveyUSA,"Cooper 42, McCrory 45",3,2016-02-22,2016,12.0
1946,North Carolina Governor - McCrory vs. Cooper,WRAL-TV/SurveyUSA*,"Cooper 47, McCrory 43",4,2016-04-13,2016,12.0
1947,North Carolina Governor - McCrory vs. Cooper,PPP (D)*,"Cooper 43, McCrory 42",1,2016-04-25,2016,0.0
1948,North Carolina Governor - McCrory vs. Cooper,Civitas (R)*,"McCrory 39, Cooper 48",9,2016-05-05,2016,0.0
1949,North Carolina Governor - McCrory vs. Cooper,PPP (D)*,"McCrory 41, Cooper 41",0,2016-05-24,2016,0.0
1950,North Carolina Governor - McCrory vs. Cooper,Civitas (R)*,"McCrory 48, Cooper 41",7,2016-05-26,2016,0.0
1951,North Carolina Governor - McCrory vs. Cooper,PPP (D)*,"McCrory 41, Cooper 41",0,2016-06-27,2016,0.0
1952,North Carolina Governor - McCrory vs. Cooper vs. Cecil,Civitas (R),"McCrory 46, Cooper 41, Cecil (L) 4",5,2016-06-29,2016,0.0
1953,North Carolina Governor - McCrory vs. Cooper,NBC/WSJ/Marist,"McCrory 45, Cooper 49",4,2016-07-15,2016,12.0
1954,Missouri Governor - Greitens vs. Koster,Remington Research (R),"Koster 45, Greitens 43",2,2016-08-08,2016,6.0
1955,North Carolina Governor - McCrory vs. Cooper,PPP (D)*,"Cooper 43, McCrory 42",1,2016-08-10,2016,0.0
1956,North Carolina Governor - McCrory vs. Cooper,NBC/WSJ/Marist,"Cooper 51, McCrory 44",7,2016-08-12,2016,12.0
1957,Washington Governor - Bryant vs. Inslee,Elway Poll,"Inslee 48, Bryant 36",12,2016-08-15,2016,0.0
1958,Indiana Governor - Holcomb vs. Gregg,Monmouth*,"Holcomb 42, Gregg 41",1,2016-08-17,2016,13.0
1959,Missouri Governor - Greitens vs. Koster,Monmouth*,"Koster 51, Greitens 40",11,2016-08-23,2016,13.0
1960,North Carolina Governor - McCrory vs. Cooper,CNN/ORC,"Cooper 52, McCrory 46",6,2016-08-24,2016,10.0
1961,North Carolina Governor - McCrory vs. Cooper,Monmouth*,"Cooper 52, McCrory 43",9,2016-08-24,2016,13.0
1962,Missouri Governor - Greitens vs. Koster,Remington Research (R),"Koster 46, Greitens 42",4,2016-09-06,2016,6.0
1963,Oregon Governor - Pierce vs. Brown,DHM Research,"Brown 43, Pierce 35",8,2016-09-08,2016,0.0
1964,North Carolina Governor - McCrory vs. Cooper,Quinnipiac,"Cooper 51, McCrory 44",7,2016-09-09,2016,11.0
1965,North Carolina Governor - McCrory vs. Cooper,Civitas (R)*,"Cooper 43, McCrory 45",2,2016-09-15,2016,0.0
1966,North Carolina Governor - McCrory vs. Cooper,Elon*,"Cooper 46, McCrory 49",3,2016-09-20,2016,11.0
1967,North Carolina Governor - McCrory vs. Cooper,PPP (D),"Cooper 50, McCrory 43",7,2016-09-21,2016,9.0
1968,New Hampshire Governor - Sununu vs. Van Ostern,Monmouth*,"Sununu 49, Van Ostern 43",6,2016-09-21,2016,13.0
1969,North Carolina Governor - McCrory vs. Cooper,FOX News*,"Cooper 43, McCrory 46",3,2016-09-21,2016,12.0
1970,North Carolina Governor - McCrory vs. Cooper,NY Times/Siena,"Cooper 50, McCrory 42",8,2016-09-22,2016,12.0
1971,North Carolina Governor - McCrory vs. Cooper,High Point*,"Cooper 50, McCrory 41",9,2016-09-26,2016,10.0
1972,Missouri Governor - Greitens vs. Koster,Remington Research (R),"Koster 51, Greitens 35",16,2016-09-29,2016,6.0
1973,North Carolina Governor - McCrory vs. Cooper,Bloomberg,"Cooper 50, McCrory 44",6,2016-10-03,2016,0.0
1974,North Carolina Governor - McCrory vs. Cooper,Elon*,"Cooper 48, McCrory 44",4,2016-10-04,2016,11.0
1975,North Carolina Governor - McCrory vs. Cooper,Quinnipiac,"Cooper 48, McCrory 46",2,2016-10-05,2016,11.0
1976,North Carolina Governor - McCrory vs. Cooper,WRAL-TV/SurveyUSA*,"Cooper 48, McCrory 44",4,2016-10-05,2016,12.0
1977,New Hampshire Governor - Sununu vs. Van Ostern,Boston Globe/Suffolk*,"Sununu 40, Ostern 36",4,2016-10-06,2016,10.0
1978,Washington Governor - Bryant vs. Inslee,KOMO/Strategies 360,"Inslee 50, Bryant 40",10,2016-10-07,2016,9.0
1979,North Carolina Governor - McCrory vs. Cooper,High Point*,"Cooper 49, McCrory 42",7,2016-10-10,2016,10.0
1980,Missouri Governor - Greitens vs. Koster,Monmouth*,"Koster 46, Greitens 43",3,2016-10-12,2016,13.0
1981,Utah Governor - Herbert vs. Weinholtz,Monmouth,"Herbert 63, Weinholtz 30",33,2016-10-13,2016,13.0
1982,New Hampshire Governor - Sununu vs. Van Ostern,UMass Lowell/7News*,"Ostern 39, Sununu 41",2,2016-10-13,2016,0.0
1983,North Carolina Governor - McCrory vs. Cooper,NBC/WSJ/Marist,"Cooper 49, McCrory 48",1,2016-10-13,2016,12.0
1984,Missouri Governor - Greitens vs. Koster,Remington Research (R)*,"Koster 48, Greitens 42",6,2016-10-13,2016,6.0
1985,New Hampshire Governor - Sununu vs. Van Ostern,WBUR/MassINC,"Ostern 47, Sununu 44",3,2016-10-14,2016,11.0
1986,Indiana Governor - Holcomb vs. Gregg,Monmouth*,"Gregg 50, Holcomb 38",12,2016-10-14,2016,13.0
1987,Oregon Governor - Pierce vs. Brown,KATU-TV/SurveyUSA,"Brown 46, Pierce 42",4,2016-10-14,2016,12.0
1988,North Carolina Governor - McCrory vs. Cooper,CNN/ORC,"Cooper 49, McCrory 48",1,2016-10-17,2016,10.0
1989,Oregon Governor - Pierce vs. Brown,Oregon Public Broadcasting*,"Brown 46, Pierce 33",13,2016-10-18,2016,0.0
1990,Vermont Governor - Scott vs. Minter,Vermont Public Radio*,"Scott 39, Minter 38",1,2016-10-19,2016,0.0
1991,North Carolina Governor - McCrory vs. Cooper,Civitas (R)*,"Cooper 44, McCrory 46",2,2016-10-19,2016,0.0
1992,North Carolina Governor - McCrory vs. Cooper,SurveyUSA*,"Cooper 47, McCrory 45",2,2016-10-19,2016,12.0
1993,New Hampshire Governor - Sununu vs. Van Ostern,WMUR/UNH,"Ostern 44, Sununu 38",6,2016-10-20,2016,0.0
1994,Oregon Governor - Pierce vs. Brown,The Oregonian,"Brown 48, Pierce 34",14,2016-10-20,2016,0.0
1995,Indiana Governor - Holcomb vs. Gregg,WISH-TV,"Gregg 48, Holcomb 43",5,2016-10-21,2016,0.0
1996,North Carolina Governor - McCrory vs. Cooper,Monmouth*,"Cooper 47, McCrory 48",1,2016-10-24,2016,13.0
1997,North Carolina Governor - McCrory vs. Cooper,PPP (D)*,"Cooper 46, McCrory 44",2,2016-10-24,2016,0.0
1998,Indiana Governor - Holcomb vs. Gregg,Gravis*,"Gregg 42, Holcomb 38",4,2016-10-25,2016,7.0
1999,North Carolina Governor - McCrory vs. Cooper,NY Times/Siena,"Cooper 51, McCrory 45",6,2016-10-25,2016,12.0
2000,New Hampshire Governor - Sununu vs. Van Ostern,UMass Amherst/WBZ*,"Ostern 44, Sununu 43",1,2016-10-25,2016,0.0
2001,New Hampshire Governor - Sununu vs. Van Ostern,NBC/WSJ/Marist,"Ostern 47, Sununu 46",1,2016-10-26,2016,12.0
2002,New Hampshire Governor - Sununu vs. Van Ostern,Monmouth*,"Ostern 48, Sununu 43",5,2016-10-26,2016,13.0
2003,North Carolina Governor - McCrory vs. Cooper,Quinnipiac,"Cooper 49, McCrory 47",2,2016-10-28,2016,11.0
2004,North Carolina Governor - McCrory vs. Cooper,NBC/WSJ/Marist,"Cooper 51, McCrory 45",6,2016-10-30,2016,12.0
2005,New Hampshire Governor - Sununu vs. Van Ostern,WMUR/UNH,"Sununu 40, Ostern 43",3,2016-10-31,2016,0.0
2006,Indiana Governor - Holcomb vs. Gregg,Monmouth*,"Gregg 48, Holcomb 42",6,2016-10-31,2016,13.0
2007,Missouri Governor - Greitens vs. Koster,Monmouth*,"Greitens 46, Koster 46",0,2016-11-01,2016,13.0
2008,North Carolina Governor - McCrory vs. Cooper,Elon,"Cooper 46, McCrory 46",0,2016-11-01,2016,11.0
2009,Missouri Governor - Greitens vs. Koster,Remington Research (R)*,"Greitens 46, Koster 45",1,2016-11-02,2016,6.0
2010,North Carolina Governor - McCrory vs. Cooper,WRAL-TV/SurveyUSA*,"Cooper 48, McCrory 47",1,2016-11-02,2016,12.0
2011,Utah Governor - Herbert vs. Weinholtz,Monmouth,"Herbert 63, Weinholtz 30",33,2016-11-03,2016,13.0
2012,New Hampshire Governor - Sununu vs. Van Ostern,WBUR/MassINC,"Sununu 49, Ostern 44",5,2016-11-03,2016,11.0
2013,New Hampshire Governor - Sununu vs. Van Ostern,Boston Globe/Suffolk*,"Sununu 41, Ostern 37",4,2016-11-03,2016,10.0
2014,North Carolina Governor - McCrory vs. Cooper,Quinnipiac,"Cooper 49, McCrory 47",2,2016-11-03,2016,11.0
2015,Indiana Governor - Holcomb vs. Gregg,Gravis*,"Gregg 42, Holcomb 38",4,2016-11-04,2016,7.0
2016,New Hampshire Governor - Sununu vs. Van Ostern,UMass Lowell/7News,"Sununu 47, Ostern 43",4,2016-11-04,2016,0.0
2017,Indiana Governor - Holcomb vs. Gregg,WTHR/Howey Politics,"Gregg 42, Holcomb 42",0,2016-11-04,2016,8.0
2018,Washington Governor - Bryant vs. Inslee,SurveyUSA,"Inslee 50, Bryant 43",7,2016-11-05,2016,12.0
2019,New Hampshire Governor - Sununu vs. Van Ostern,WMUR/UNH,"Sununu 37, Ostern 48",11,2016-11-07,2016,0.0
2020,North Carolina Governor - McCrory vs. Cooper,Quinnipiac,"Cooper 50, McCrory 47",3,2016-11-07,2016,11.0
2021,North Carolina Governor - McCrory vs. Cooper,NY Times/Siena,"Cooper 47, McCrory 46",1,2016-11-07,2016,12.0
2022,Virginia Governor - Gillespie vs. Perriello,Quinnipiac,"Perriello 46, Gillespie 33",13,2017-04-11,2017,11.0
2023,Virginia Governor - Gillespie vs. Northam,Quinnipiac,"Northam 44, Gillespie 33",11,2017-04-11,2017,11.0
2024,Virginia Governor - Democratic Primary,Quinnipiac,"Perriello 25, Northam 20",5,2017-04-11,2017,11.0
2025,Virginia Governor - Republican Primary,Quinnipiac,"Gillespie 28, Stewart 12, Wagner 7",16,2017-04-11,2017,11.0
2026,Virginia Governor - Republican Primary,Washington Post,"Gillespie 38, Stewart 18, Wagner 15",20,2017-05-15,2017,13.0
2027,Virginia Governor - Democratic Primary,Washington Post,"Perriello 40, Northam 38",2,2017-05-18,2017,13.0
2028,Virginia Governor - Gillespie vs. Northam,Washington Post,"Northam 49, Gillespie 38",11,2017-05-22,2017,13.0
2029,Virginia Governor - Gillespie vs. Perriello,Washington Post,"Perriello 50, Gillespie 37",13,2017-05-22,2017,13.0
2030,Virginia Governor - Gillespie vs. Northam,Quinnipiac,"Northam 47, Gillespie 39",8,2017-06-21,2017,11.0
2031,New Jersey Governor - Guadagno vs. Murphy,NBC 4/Marist,"Murphy 54, Guadagno 33",21,2017-07-20,2017,12.0
2032,Virginia Governor - Gillespie vs. Northam,Monmouth*,"Northam 44, Gillespie 44",0,2017-07-24,2017,13.0
2033,Virginia Governor - Gillespie vs. Northam,VCU*,"Northam 42, Gillespie 37",5,2017-08-08,2017,0.0
2034,Virginia Governor - Gillespie vs. Northam,Quinnipiac*,"Northam 44, Gillespie 38",6,2017-08-09,2017,11.0
2035,Virginia Governor - Gillespie vs. Northam,Roanoke College*,"Northam 43, Gillespie 36",7,2017-08-22,2017,6.0
2036,New Jersey Governor - Guadagno vs. Murphy,Quinnipiac,"Murphy 58, Guadagno 33",25,2017-09-13,2017,11.0
2037,Virginia Governor - Gillespie vs. Northam,Univ. of Mary Washington*,"Northam 44, Gillespie 39",5,2017-09-18,2017,0.0
2038,Virginia Governor - Gillespie vs. Northam,Suffolk*,"Northam 42, Gillespie 42",0,2017-09-18,2017,10.0
2039,Virginia Governor - Gillespie vs. Northam,FOX News*,"Northam 42, Gillespie 38",4,2017-09-19,2017,12.0
2040,Virginia Governor - Gillespie vs. Northam,Mason-Dixon*,"Northam 44, Gillespie 43",1,2017-09-19,2017,10.0
2041,Virginia Governor - Gillespie vs. Northam,Quinnipiac*,"Northam 51, Gillespie 41",10,2017-09-19,2017,11.0
2042,New Jersey Governor - Guadagno vs. Murphy,FOX News*,"Murphy 42, Guadagno 29",13,2017-09-20,2017,12.0
2043,New Jersey Governor - Guadagno vs. Murphy,Suffolk*,"Murphy 44, Guadagno 25",19,2017-09-25,2017,10.0
2044,Virginia Governor - Gillespie vs. Northam,Christopher Newport Univ.*,"Northam 47, Gillespie 41",6,2017-09-25,2017,10.0
2045,Virginia Governor - Gillespie vs. Northam,Roanoke College*,"Northam 47, Gillespie 43",4,2017-09-26,2017,6.0
2046,Virginia Governor - Gillespie vs. Northam,Monmouth*,"Northam 49, Gillespie 44",5,2017-09-26,2017,13.0
2047,New Jersey Governor - Guadagno vs. Murphy,Emerson,"Murphy 46, Guadagno 35",11,2017-10-02,2017,10.0
2048,New Jersey Governor - Guadagno vs. Murphy,Monmouth,"Murphy 51, Guadagno 37",14,2017-10-03,2017,13.0
2049,Virginia Governor - Gillespie vs. Northam,Washington Post*,"Northam 53, Gillespie 40",13,2017-10-05,2017,13.0
2050,Virginia Governor - Gillespie vs. Northam,Christopher Newport Univ.*,"Northam 49, Gillespie 42",7,2017-10-09,2017,10.0
2051,Virginia Governor - Gillespie vs. Northam,Emerson*,"Northam 49, Gillespie 44",5,2017-10-09,2017,10.0
2052,New Jersey Governor - Guadagno vs. Murphy,Stockton,"Murphy 51, Guadagno 33",18,2017-10-13,2017,10.0
2053,Virginia Governor - Gillespie vs. Northam,Monmouth*,"Northam 47, Gillespie 48",1,2017-10-17,2017,13.0
2054,Virginia Governor - Gillespie vs. Northam,Christopher Newport Univ.*,"Northam 48, Gillespie 44",4,2017-10-17,2017,10.0
2055,Virginia Governor - Gillespie vs. Northam,Roanoke College*,"Northam 50, Gillespie 44",6,2017-10-17,2017,6.0
2056,New Jersey Governor - Guadagno vs. Murphy,FOX News,"Murphy 47, Guadagno 33",14,2017-10-17,2017,12.0
2057,New Jersey Governor - Guadagno vs. Murphy,Fairleigh Dickinson,"Murphy 47, Guadagno 32",15,2017-10-17,2017,12.0
2058,Virginia Governor - Gillespie vs. Northam,FOX News*,"Northam 49, Gillespie 42",7,2017-10-18,2017,12.0
2059,Virginia Governor - Gillespie vs. Northam,Quinnipiac*,"Northam 53, Gillespie 39",14,2017-10-18,2017,11.0
2060,Virginia Governor - Gillespie vs. Northam,Hampton,"Northam 33, Gillespie 41",8,2017-10-25,2017,7.0
2061,New Jersey Governor - Guadagno vs. Murphy,Quinnipiac,"Murphy 57, Guadagno 37",20,2017-10-25,2017,11.0
2062,New Jersey Governor - Guadagno vs. Murphy,Stockton,"Murphy 51, Guadagno 37",14,2017-10-26,2017,10.0
2063,Virginia Governor - Gillespie vs. Northam,The Polling Company (R),"Northam 43, Gillespie 45",2,2017-10-27,2017,6.0
2064,Virginia Governor - Gillespie vs. Northam,Christopher Newport Univ.*,"Northam 50, Gillespie 43",7,2017-10-27,2017,10.0
2065,New Jersey Governor - Guadagno vs. Murphy,Emerson,"Murphy 47, Guadagno 31",16,2017-10-29,2017,10.0
2066,New Jersey Governor - Guadagno vs. Murphy,Suffolk*,"Murphy 49, Guadagno 33",16,2017-10-30,2017,10.0
2067,Virginia Governor - Gillespie vs. Northam,Quinnipiac*,"Northam 53, Gillespie 36",17,2017-10-30,2017,11.0
2068,Virginia Governor - Gillespie vs. Northam,Washington Post*,"Northam 49, Gillespie 44",5,2017-10-31,2017,13.0
2069,New Jersey Governor - Guadagno vs. Murphy,Monmouth,"Murphy 53, Guadagno 39",14,2017-11-01,2017,13.0
2070,New Jersey Governor - Guadagno vs. Murphy,Rasmussen Reports,"Murphy 50, Guadagno 35",15,2017-11-02,2017,7.0
2071,Virginia Governor - Gillespie vs. Northam,Suffolk*,"Northam 47, Gillespie 43",4,2017-11-02,2017,10.0
2072,New Jersey Governor - Guadagno vs. Murphy,Gravis,"Murphy 46, Guadagno 32",14,2017-11-03,2017,7.0
2073,Virginia Governor - Gillespie vs. Northam,Rasmussen Reports*,"Northam 45, Gillespie 45",0,2017-11-03,2017,7.0
2074,Virginia Governor - Gillespie vs. Northam,The Polling Company (R),"Northam 43, Gillespie 46",3,2017-11-03,2017,6.0
2075,Virginia Governor - Gillespie vs. Northam,Roanoke College*,"Northam 47, Gillespie 47",0,2017-11-03,2017,6.0
2076,Virginia Governor - Gillespie vs. Northam,Gravis*,"Northam 48, Gillespie 43",5,2017-11-04,2017,7.0
2077,Virginia Governor - Gillespie vs. Northam,Trafalgar Group (R)*,"Northam 49, Gillespie 48",1,2017-11-04,2017,0.0
2078,Virginia Governor - Gillespie vs. Northam,NY Times/Siena*,"Northam 43, Gillespie 40",3,2017-11-05,2017,12.0
2079,Virginia Governor - Gillespie vs. Northam,Emerson*,"Northam 49, Gillespie 46",3,2017-11-05,2017,10.0
2080,New Jersey Governor - Guadagno vs. Murphy,Quinnipiac,"Murphy 53, Guadagno 41",12,2017-11-06,2017,11.0
2081,Virginia Governor - Gillespie vs. Northam,Quinnipiac*,"Northam 51, Gillespie 42",9,2017-11-06,2017,11.0
2082,Virginia Governor - Gillespie vs. Northam,Christopher Newport Univ.*,"Northam 51, Gillespie 45",6,2017-11-06,2017,10.0
2083,Virginia Governor - Gillespie vs. Northam,The Polling Company (R),"Northam 47, Gillespie 46",1,2017-11-06,2017,6.0
2084,Virginia Governor - Gillespie vs. Northam,FOX News*,"Northam 48, Gillespie 43",5,2017-11-06,2017,12.0
2085,Virginia Governor - Gillespie vs. Northam,Monmouth*,"Northam 47, Gillespie 45",2,2017-11-06,2017,13.0
2086,Michigan Governor - Schuette vs. Whitmer,Detroit News/WDIV-TV,"Whitmer 40, Schuette 33",7,2018-01-25,2018,0.0
2087,Illinois Governor - Democratic Primary,WeAskAmerica,"Pritzker 30, Biss 17, Kennedy 12, Hardiman 2, Daiber 1, Marshall 1",13,2018-01-31,2018,0.0
2088,Iowa Governor - Reynolds vs. Boulton,Des Moines Register,"Reynolds 41, Boulton 37",4,2018-02-07,2018,0.0
2089,New Hampshire Governor - Sununu vs. Van Ostern,UNH,"Sununu 41, Ostern 31",10,2018-02-13,2018,0.0
2090,New Hampshire Governor - Sununu vs. Connolly,UNH,"Sununu 41, Connolly 29",12,2018-02-13,2018,0.0
2091,New Hampshire Governor - Sununu vs. Marchand,UNH,"Sununu 42, Marchand 28",14,2018-02-13,2018,0.0
2092,Texas Governor - Democratic Primary,UT/Texas Tribune,"Valdez 43, White 24, Yarbrough 7, Wakely 7, Ocegueda 5, Payne 5, Davis 4, Mumbach 3, Clark 1",19,2018-02-19,2018,13.0
2093,Texas Governor - Republican Primary,UT/Texas Tribune,"Abbott 95, Krueger 5",90,2018-02-19,2018,13.0
2094,New York Governor - Democratic Primary,Siena,"Cuomo 66, Nixon 19",47,2018-03-19,2018,12.0
2095,New York Governor - Republican Primary,Siena,"DeFrancisco 21, Molinaro 17",4,2018-03-19,2018,12.0
2096,New York Governor - DeFrancisco vs. Cuomo,Siena,"Cuomo 57, DeFrancisco 28",29,2018-03-19,2018,12.0
2097,New York Governor - Molinaro vs. Cuomo,Siena,"Cuomo 57, Molinaro 29",28,2018-03-19,2018,12.0
2098,California Governor - Open Primary,PPIC,"Newsom 28, Villaraigosa 12, Cox 14, Chiang 6, Allen 10, Eastin 5",14,2018-03-22,2018,0.0
2099,California Governor - Open Primary,SurveyUSA,"Newsom 22, Villaraigosa 14, Cox 11, Chiang 9, Allen 7, Eastin 3",8,2018-03-27,2018,12.0
2100,Pennsylvania Governor - Ellsworth vs. Wolf,Franklin & Marshall,"Wolf 51, Ellsworth 22",29,2018-03-29,2018,8.0
2101,Pennsylvania Governor - Mango vs. Wolf,Franklin & Marshall,"Wolf 49, Mango 22",27,2018-03-29,2018,8.0
2102,Pennsylvania Governor - Wagner vs. Wolf,Franklin & Marshall,"Wolf 38, Wagner 21",17,2018-03-29,2018,8.0
2103,South Carolina Governor - Democratic Primary,Target Insyght,"Noble 27, Smith 27, Willis 21",0,2018-04-08,2018,6.0
2104,South Carolina Governor - Republican Primary,Target Insyght,"McMaster 46, Templeton 22, Bryant 6, McGill 4, Warren 1",24,2018-04-08,2018,6.0
2105,Pennsylvania Governor - Wagner vs. Wolf,Morning Call,"Wolf 47, Wagner 31",16,2018-04-13,2018,0.0
2106,Pennsylvania Governor - Mango vs. Wolf,Morning Call,"Wolf 47, Mango 27",20,2018-04-13,2018,0.0
2107,Arkansas Governor - Hutchinson vs. Henderson,Mason-Dixon,"Hutchinson 63, Henderson 24",39,2018-04-13,2018,10.0
2108,Pennsylvania Governor - Ellsworth vs. Wolf,Morning Call,"Wolf 46, Ellsworth 26",20,2018-04-13,2018,0.0
2109,New York Governor - DeFrancisco vs. Cuomo,Siena,"Cuomo 56, DeFrancisco 32",24,2018-04-17,2018,12.0
2110,New York Governor - Democratic Primary,Siena,"Cuomo 58, Nixon 27",31,2018-04-17,2018,12.0
2111,New York Governor - Molinaro vs. Cuomo,Siena,"Cuomo 57, Molinaro 31",26,2018-04-17,2018,12.0
2112,New York Governor - Republican Primary,Siena,"DeFrancisco 18, Molinaro 18",0,2018-04-17,2018,12.0
2113,Texas Governor - Abbott vs. Valdez,Quinnipiac,"Abbott 49, Valdez 40",9,2018-04-18,2018,11.0
2114,Texas Governor - Abbott vs. White,Quinnipiac,"Abbott 48, White 41",7,2018-04-18,2018,11.0
2115,Georgia Governor - Democratic Primary,Atlanta Journal-Constitution,"Abrams 33, Evans 15",18,2018-04-19,2018,0.0
2116,Arkansas Governor - Republican Primary,Talk Business/Hendrix College,"Hutchinson 58, Morgan 31",27,2018-04-22,2018,8.0
2117,Maryland Governor - Hogan vs. Kamenetz,Goucher College,"Hogan 45, Kamenetz 28",17,2018-04-24,2018,0.0
2118,Maryland Governor - Hogan vs. Jealous,Goucher College,"Hogan 44, Jealous 31",13,2018-04-24,2018,0.0
2119,Maryland Governor - Hogan vs. Baker,Goucher College,"Hogan 44, Baker 31",13,2018-04-24,2018,0.0
2120,New Hampshire Governor - Sununu vs. Kelly,UNH*,"Sununu 51, Kelly 24",27,2018-04-24,2018,0.0
2121,New Hampshire Governor - Sununu vs. Marchand,UNH*,"Sununu 49, Marchand 27",22,2018-04-24,2018,0.0
2122,Nevada Governor - Laxalt vs. Sisolak,Nevada Independent/Mellman,"Sisolak 43, Laxalt 37",6,2018-04-25,2018,9.0
2123,California Governor - Open Primary,Berkeley IGS,"Newsom 30, Cox 18, Villaraigosa 9, Allen 16, Chiang 7, Eastin 4",12,2018-04-26,2018,0.0
