,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
2593,north carolina senate,senate,NC,"['burr', 'ross']",ppp (d),"{'burr': 43.0, 'ross': 33.0}",burr,10.0,2016-01-21,burr,0
2594,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette,"{'feingold': 50.0, 'johnson': 37.0}",feingold,13.0,2016-01-28,johnson,0
2595,new hampshire senate,senate,NH,"['ayotte', 'hassan']",nbc/wsj/marist,"{'ayotte': 45.0, 'hassan': 40.0}",ayotte,5.0,2016-01-28,hassan,0
2596,arizona senate,senate,AZ,"['mccain', 'kirkpatrick']",behavior research center,"{'mccain': 38.0, 'kirkpatrick': 37.0}",mccain,1.0,2016-02-03,mccain,0
2597,north carolina senate,senate,NC,"['burr', 'ross']",surveyusa,"{'burr': 45.0, 'ross': 37.0}",burr,8.0,2016-02-22,burr,0
2598,maryland senate,senate,MD,"['edwards', 'van hollen']",goucher college,"{'van hollen': 37.0, 'edwards': 39.0}",edwards,2.0,2016-02-24,van hollen,0
2599,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette,"{'feingold': 49.0, 'johnson': 37.0}",feingold,12.0,2016-02-25,johnson,0
2600,new hampshire senate,senate,NH,"['ayotte', 'hassan']",wmur/unh,"{'ayotte': 45.0, 'hassan': 41.0}",ayotte,4.0,2016-03-03,hassan,0
2601,maryland senate,senate,MD,"['van hollen', 'edwards']",gonzales research,"{'edwards': 41.0, 'van hollen': 42.0}",van hollen,1.0,2016-03-08,van hollen,0
2602,ohio senate,senate,OH,"['strickland', 'portman']",ppp (d),"{'strickland': 41.0, 'portman': 40.0}",strickland,1.0,2016-03-10,portman,0
2603,maryland senate,senate,MD,"['edwards', 'van hollen']",baltimore sun/univ. of baltimore,"{'edwards': 34.0, 'van hollen': 28.0}",edwards,6.0,2016-03-13,van hollen,0
2604,pennsylvania senate,senate,PA,"['toomey', 'sestak']",mercyhurst university,"{'toomey': 43.0, 'sestak': 38.0}",toomey,5.0,2016-03-14,toomey,0
2605,arizona senate,senate,AZ,"['mccain', 'kirkpatrick']",merrill poll,"{'mccain': 41.0, 'kirkpatrick': 40.0}",mccain,1.0,2016-03-16,mccain,0
2606,maryland senate,senate,MD,"['van hollen', 'edwards']",nbc 4/marist,"{'van hollen': 44.0, 'edwards': 38.0}",van hollen,6.0,2016-04-12,van hollen,0
2607,new york senate,senate,NY,"['schumer', 'long']",ppp (d),"{'schumer': 55.0, 'long': 23.0}",schumer,32.0,2016-04-13,schumer,0
2608,arizona senate,senate,AZ,"['mccain', 'kirkpatrick']",behavior research center,"{'mccain': 42.0, 'kirkpatrick': 42.0}",,,2016-04-15,mccain,0
