Date,State,Race,Poll,Result,Spread,Year,Lead,Party,Party Class
2012-03-29,Florida,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 44, Mack 36",Nelson +8,2012,Nelson,D,1.0
2012-04-18,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 47, Mack 37",Nelson +10,2012,Nelson,D,1.0
2012-04-27,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 47, Mack 36",Nelson +11,2012,Nelson,D,1.0
2012-05-24,Florida,Florida Senate - Mack vs. Nelson,NBC News/Marist,"Nelson 46, Mack 42",Nelson +4,2012,Nelson,D,1.0
2012-06-07,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 49, Mack 36",Nelson +13,2012,Nelson,D,1.0
2012-06-21,Florida,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 43, Mack 39",Nelson +4,2012,Nelson,D,1.0
2012-06-27,Florida,Florida Senate - Mack vs. Nelson,Quinnipiac,"Mack 40, Nelson 41",Nelson +1,2012,Nelson,D,1.0
2012-07-13,Florida,Florida Senate - Mack vs. Nelson,Mason-Dixon,"Mack 42, Nelson 47",Nelson +5,2012,Nelson,D,1.0
2012-08-01,Florida,Florida Senate - Mack vs. Nelson,CBS/NYT/Quinnipiac,"Nelson 47, Mack 40",Nelson +7,2012,Nelson,D,1.0
2012-08-01,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 45, Mack 43",Nelson +2,2012,Nelson,D,1.0
2012-08-17,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 47, Mack 40",Nelson +7,2012,Nelson,D,1.0
2012-08-23,Florida,Florida Senate - Mack vs. Nelson,CBS/NYT/Quinnipiac,"Nelson 50, Mack 41",Nelson +9,2012,Nelson,D,1.0
2012-09-04,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 45, Mack 38",Nelson +7,2012,Nelson,D,1.0
2012-09-04,Florida,Florida Senate - Mack vs. Nelson,Gravis Marketing,"Nelson 43, Mack 42",Nelson +1,2012,Nelson,D,1.0
2012-09-11,Florida,Florida Senate - Mack vs. Nelson,SurveyUSA,"Nelson 47, Mack 36",Nelson +11,2012,Nelson,D,1.0
2012-09-13,Florida,Florida Senate - Mack vs. Nelson,NBC/WSJ/Marist,"Nelson 51, Mack 37",Nelson +14,2012,Nelson,D,1.0
2012-09-16,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 47, Mack 40",Nelson +7,2012,Nelson,D,1.0
2012-09-19,Florida,Florida Senate - Mack vs. Nelson,FOX News,"Nelson 49, Mack 35",Nelson +14,2012,Nelson,D,1.0
2012-09-20,Florida,Florida Senate - Mack vs. Nelson,WeAskAmerica,"Nelson 47, Mack 42",Nelson +5,2012,Nelson,D,1.0
2012-09-22,Florida,Florida Senate - Mack vs. Nelson,Miami Herald/Mason-Dixon,"Nelson 48, Mack 40",Nelson +8,2012,Nelson,D,1.0
2012-09-25,Florida,Florida Senate - Mack vs. Nelson,Washington Post,"Nelson 54, Mack 40",Nelson +14,2012,Nelson,D,1.0
2012-09-25,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 46, Mack 37",Nelson +9,2012,Nelson,D,1.0
2012-09-26,Florida,Florida Senate - Mack vs. Nelson,CBS/NYT/Quinnipiac,"Nelson 53, Mack 39",Nelson +14,2012,Nelson,D,1.0
2012-10-02,Florida,Florida Senate - Mack vs. Nelson,Suffolk/WSVN*,"Nelson 40, Mack 34",Nelson +6,2012,Nelson,D,1.0
2012-10-03,Florida,Florida Senate - Mack vs. Nelson,NBC/WSJ/Marist,"Nelson 52, Mack 41",Nelson +11,2012,Nelson,D,1.0
2012-10-08,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 52, Mack 41",Nelson +11,2012,Nelson,D,1.0
2012-10-11,Florida,Florida Senate - Mack vs. Nelson,NBC/WSJ/Marist,"Nelson 52, Mack 39",Nelson +13,2012,Nelson,D,1.0
2012-10-12,Florida,Florida Senate - Mack vs. Nelson,TBT/Herald/Mason-Dixon,"Nelson 47, Mack 42",Nelson +5,2012,Nelson,D,1.0
2012-10-14,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 45, Mack 37",Nelson +8,2012,Nelson,D,1.0
2012-10-15,Florida,Florida Senate - Mack vs. Nelson,UNF,"Nelson 50, Mack 40",Nelson +10,2012,Nelson,D,1.0
2012-10-15,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 46, Mack 45",Nelson +1,2012,Nelson,D,1.0
2012-10-20,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 48, Mack 43",Nelson +5,2012,Nelson,D,1.0
2012-10-20,Florida,Florida Senate - Mack vs. Nelson,SurveyUSA,"Nelson 48, Mack 40",Nelson +8,2012,Nelson,D,1.0
2012-10-23,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 45, Mack 41",Nelson +4,2012,Nelson,D,1.0
2012-10-28,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 50, Mack 42",Nelson +8,2012,Nelson,D,1.0
